,id,title,description,creator,date,start_date,end_date,type,fabrication_method,dimensions,place,accurate_date,image_width,image_height
65,IMG_0654,,Negativo rasgado,,,,,NEGATIVO flexível,GELATINA/ Prata,,"Avenida Central, atual Rio Branco; Centro",False,,
66,IMG_0653,Washington Luis,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
67,IMG_0647,Washington Luis,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
68,IMG_0645,Washington Luis,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
69,IMG_0643,Washington Luis,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
70,IMG_0642,Washington Luis,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
71,IMG_0641,Washington Luis,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
72,IMG_0640,Washington Luis,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
73,IMG_0638,,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
74,IMG_0637,,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
75,IMG_0635,Washignton Luis,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
76,IMG_0631,Washignton Luis,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
77,IMG_0630,Washington Luis,Palácio do Catete,,,,,NEGATIVO flexível,GELATINA/ Prata,,Palácio do Catete,False,,
78,IMG_0629,,,,,,,NEGATIVO flexível,GELATINA/ Prata,,Glória,False,,
79,IMG_0628,Washington Luis,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
80,IMG_0627,"Washington Luis, ao centro",,,,,,NEGATIVO flexível,GELATINA/ Prata,,Praça XV,False,,
81,IMG_0622,"Washington Luis, de cartola",,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
82,IMG_0620,Vista do Rio de Janeiro a partir da Fortaleza de Santa Cruz,Vista do Rio de Janeiro a partir da Fortaleza de Santa Cruz,,,,,NEGATIVO flexível,GELATINA/ Prata,,Niterói,False,,
83,IMG_0614,,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
84,IMG_0613,,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
85,IMG_0611,Getúlio Vargas,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
86,IMG_0610,,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
87,IMG_0609,,"Vista do Pão de Açúcar, Corcovado ao fundo. Negativo rasgado, emulsão descolando",,,,,NEGATIVO flexível,GELATINA/ Prata,,Baía de Guanabara,False,,
88,IMG_0606,Atual Colégio Estadual Amaro Cavalcanti,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Largo do Machado,False,,
89,IMG_0586,Concurso de beleza,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
90,IMG_0574,Cabeça do Cristo Redentor,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
91,IMG_0573,,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
92,IMG_0572,,,,,,,NEGATIVO flexível,GELATINA/ Prata,,"Avenida Central, atual Rio Branco; Centro",False,,
93,IMG_0571,Palácio da Prefeitura,"Vista da fachada do palácio da Prefeitura Municipal.
A Prefeitura do Rio de Janeiro já ocupou sete sedes, desde 1892. Quando Floriano Peixoto, então presidente da República, assinou a Lei Orgânica do Distrito Federal, em 20 de setembro de 1892, estabelecendo a Prefeitura do Rio de Janeiro, sua sede foi instalada num palacete situado no Campo de Santana e ali permaneceu até 1942, quando, devido às obras de construção da Avenida Presidente Vargas, que previam a demolição de parte do local, incluindo o prédio da prefeitura, foi transferida para um casarão no Parque da Cidade, na Gávea.",,,,,NEGATIVO flexível,GELATINA/ Prata,,Campo de Santana,False,,
94,IMG_0570,Getúlio Vargas,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
95,IMG_0569,,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
96,IMG_0568,,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
97,IMG_0567,,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
98,IMG_0566,,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
99,IMG_0565,,,,,,,NEGATIVO flexível,GELATINA/ Prata,,Botafogo,False,,
100,IMG_0561,,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
101,IMG_0559,Cabeça do Cristo Redentor,Cabeça do Cristo Redentor,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
102,IMG_0557,,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
103,IMG_0556,,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
104,IMG_0555,,,,,,,NEGATIVO flexível,GELATINA/ Prata,,Lagoa Rodrigo de Freitas,False,,
105,IMG_0554,,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
106,IMG_0552,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
107,IMG_0551,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
108,IMG_0550,,"Trincado, sem uma ponta",,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
109,IMG_0549,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
110,IMG_0548,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
111,IMG_0547,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
112,IMG_0545,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
113,IMG_0544,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
114,IMG_0543,,Sem uma ponta,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
115,IMG_0542,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
116,IMG_0541,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
117,IMG_0540,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
118,IMG_0539,,Trincado,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
119,IMG_0538,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
120,IMG_0537,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
121,IMG_0536,,Trincado,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
122,IMG_0535,,Jatos d'água na demolição do Morro do Castelo,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
123,IMG_0534,,Quebrado,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
124,IMG_0533,Pedra de Itapuca,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
125,IMG_0531,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
126,IMG_0530,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
127,IMG_0529,,Trincado,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
128,IMG_0528,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
129,IMG_0527,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
130,IMG_0526,,Ponta quebrada,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
131,IMG_0525,,Morro do Castelo,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
132,IMG_0524,,Morro do Castelo,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
133,IMG_0522,,No mesmo envelope que IMG_0523.jpg,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
134,IMG_0519,Elefantes,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
135,IMG_0518,,Morro do Castelo,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
136,IMG_0516,,Morro do Castelo,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
137,IMG_0514,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
138,IMG_0513,,Morro do Castelo. Quebrado com perda.,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
139,IMG_0512,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
140,IMG_0511,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
141,IMG_0510,,Morro do castelo,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
142,IMG_0509,,Bica d'água,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
143,IMG_0508,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
144,IMG_0507,,Lagoa - Corte do Cantagalo. Quebrado com perda.,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
145,IMG_0506,,Praia de Santa Luzia,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Praia de Santa Luzia,False,,
146,IMG_0504,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
147,IMG_0503,Morro do Castelo,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
148,IMG_0502,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
149,IMG_0501,,Morro do Castelo,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
150,IMG_0500,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
151,IMG_0498,,Morro do Castelo,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
152,IMG_0497,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
153,IMG_0496,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Leblon,False,,
154,IMG_0495,,Morro do Castelo,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
155,IMG_0494,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
156,IMG_0493,Getúlio Vargas,Getúlio Vargas,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
157,IMG_0492,Abertura do túnel João Ricardo,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Senado,False,,
158,IMG_0491,Rui Barbosa,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Porto do Rio de Janeiro,False,,
159,IMG_0490,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
160,IMG_0488,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
161,IMG_0487,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
162,IMG_0484,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
163,IMG_0483,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
164,IMG_0482,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
165,IMG_0481,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
166,IMG_0480,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,"Avenida Central, atual Rio Branco; Centro",False,,
167,IMG_0478,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
168,IMG_0476,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
169,IMG_0475,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
170,IMG_0474,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
171,IMG_0473,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
172,IMG_0472,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
173,IMG_0471,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Centro,False,,
174,IMG_0470,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Lapa,False,,
175,IMG_0469,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
176,IMG_0467,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Centro,False,,
177,IMG_0465,Getúlio Vargas,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
178,IMG_0464,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
179,IMG_0461,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
180,IMG_0458,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
181,IMG_0457,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
182,IMG_0456,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
183,IMG_0455,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
184,IMG_0454,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
185,IMG_0453,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
186,IMG_0449,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
187,IMG_0446,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
188,IMG_0443,Obelisco do Valongo,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
189,IMG_0442,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
190,IMG_0441,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Largo da Carioca,False,,
191,IMG_0438,,Morro do Castelo,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
192,IMG_0435,,"Igreja dos Capuchinhos, Morro do Castelo",,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
193,IMG_0434,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
194,IMG_0433,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
195,IMG_0432,,Morro do Castelo,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
196,IMG_0429,,Igreja dos Capuchinhos,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
197,IMG_0427,,Morro do Castelo,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
198,IMG_0425,,Ponta quebrada,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
199,IMG_0424,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,"Avenida Central, atual Rio Branco; Centro",False,,
200,IMG_0423,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,"Avenida Central, atual Rio Branco; Centro",False,,
201,IMG_0422,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
202,IMG_0421,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
203,IMG_0420,Epitácio Pessoa,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
204,IMG_0419,Hidroaviões na enseada de Botafogo,Hidroaviões na enseada de Botafogo,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
205,IMG_0418,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
206,IMG_0417,Hidroaviões na enseada de Botafogo,Hidroaviões na enseada de Botafogo,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
207,IMG_0416,Policlínica de Botafogo,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
208,IMG_0414,Igreja de Nossa Senhora do Bonsucesso,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
209,IMG_0413,Paço Imperial,Paço Imperial,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
210,IMG_0412,Paço Imperial,Paço Imperial,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
211,IMG_0408,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
212,IMG_0407,Exposição Internacional de 1922,,,1922-01-01,1922-01-01,1922-01-01,NEGATIVO/ Vidro,GELATINA/ Prata,,,True,,
213,IMG_0406,,Grupo posando na frente de túnel ferroviário - Rio de Janeiro,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
214,IMG_0404,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
215,IMG_0403,,Quebrado,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Centro,False,,
216,IMG_0402,Igreja de Santa Luzia,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
217,IMG_0401,"Ao centro, a rua 7 de setembro; ao fundo o Morro de Santo Antônio","Ao centro, a rua 7 de setembro; ao fundo o Morro de Santo Antônio",,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
218,IMG_0400,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Lapa,False,,
219,IMG_0399,Igreja de São Sebastião,Igreja de São Sebastião - Morro do Castelo,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
220,IMG_0398,Igreja de São Domingos Gusmão,Igreja de São Domingos Gusmão - Largo de São Domingos,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Largo de São Domingos,False,,
221,IMG_0397,Igreja de São Pedro dos Clérigos,Igreja de São Pedro dos Clérigos,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
222,IMG_0395,Vista da Lapa e de Santa Teresa tomada do Morro de Santo Antônio,Vista da Lapa e de Santa Teresa tomada do Morro de Santo Antônio,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
223,IMG_0394,Norddeutscher Lloyd Bremen,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Avenida Rio Branco,False,,
224,IMG_0392,Vista da Rua Buenos Aires,Vista da Rua Buenos Aires - Campo de Santana,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Campo de Santana,False,,
225,IMG_0390,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
226,IMG_0389,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Senado,False,,
227,IMG_0388,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,"Avenida Central, atual Rio Branco; Centro",False,,
228,IMG_0387,Igreja do Santíssimo Sacramento,Avenida Passos,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Avenida Passos,False,,
229,IMG_0386,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Avenida Rio Branco,False,,
230,IMG_0385,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Praça XV,False,,
231,IMG_0383,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
232,IMG_0382,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Glória,False,,
233,IMG_0379,Washington Luis,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
234,IMG_0378,Palácio Monroe e Obelisco,Palácio Monroe,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Avenida Rio Branco,False,,
235,IMG_0377,Vista de Copacabana,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Leme,False,,
236,IMG_0374,Palácio Monroe,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
237,IMG_0373,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Avenida Rio Branco,False,,
