id,title,description,creator,date,start_date,end_date,type,fabrication_method,dimensions,place,date_accuracy,date_created,date_circa,image_width,image_height
001AAN005142,Vista da lagoa Rodrigo de Freitas,"Vista a partir da Vista Chinesa, no Alto da Tijuca, com a lagoa Rodrigo de Freitas ao centro, Corcovado à esquerda e, ao fundo, o Pão de Açúcar e a enseada de Botafogo. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910-01-01,1905,1915,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",Lagoa Rodrigo de Freitas,circa,,1905/1915,"14,1","8,3"
001AAN005143,Vista da lagoa Rodrigo de Freitas,"Vista a partir da Vista Chinesa, no Alto da Tijuca, com a lagoa Rodrigo de Freitas ao centro, Corcovado à esquerda e, ao fundo, o Pão de Açúcar e a enseada de Botafogo. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910-01-01,1905,1915,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",Lagoa Rodrigo de Freitas,circa,,1905/1915,"14,1","8,3"
001AAN005144,Vista de rua comercial,"Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910-01-01,1905,1915,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",Centro,circa,,1905/1915,"14,1","8,3"
001AAN005145,"Vista da lagoa Rodrigo de Freitas, Ipanema e Leblon.","Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910-01-01,1905,1915,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",,circa,,1905/1915,"14,1","8,3"
001AAN005146,Vista da enseada de Botafogo e Pão de Açúcar a partir do Corcovado,"Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910-01-01,1905,1915,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",Morro do Corcovado,circa,,1905/1915,"14,1","8,3"
001AAN005147,Vista do Pão de Açúcar,"O Pão de Açúcar visto da entrada da Baía de Guanabara. À esquerda, a antiga Escola Militar, já reformada, juntamente com outros pavilhões da Exposição de 1908 na praia Vermelha. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910-01-01,1905,1915,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",Baía de Guanabara,circa,,1905/1915,"14,1","8,3"
001AAN005148,Entrada da Barra,"A entrada da Barra vista da Baía de Guanabara com Corcovado ao fundo. À esquerda, o forte de Santa Cruz. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910-01-01,1905,1915,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",Baía de Guanabara,circa,,1905/1915,"14,1","8,3"
001AAN005149,Vista do Pão de Açúcar,"O Pão de Açúcar visto da entrada da Baía de Guanabara. À esquerda, a antiga Escola Militar, já reformada, juntamente com outros pavilhões da Exposição de 1908 na praia Vermelha. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910-01-01,1905,1915,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",Baía de Guanabara,circa,,1905/1915,"14,1","8,3"
001AAN005150,Baía de Guanabara,"Vista da cidade a partir da baía de Guanabara. À direita, Ilha Fiscal, as torres sineiras e a cúpula da igreja da Candelária. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910-01-01,1905,1915,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",Baía de Guanabara,circa,,1905/1915,"14,1","8,3"
001AAN005151,Vista do Pão de Açúcar,"O Pão de Açúcar visto da entrada da Baía de Guanabara. À esquerda, a antiga Escola Militar, já reformada, juntamente com outros pavilhões da Exposição de 1908 na praia Vermelha. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910-01-01,1908,1909,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",Baía de Guanabara,circa,,1908/1909,"14,1","8,3"
001AAN005152,Vista marítima,"Vista marítima, com cidade não identificada ao fundo. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910-01-01,1905,1915,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 8,3 x 14,1 cm / sp: 9,5 x 14,5 cm (aprox.) / st: 24,5 x 36 cm",Baía de Guanbara,circa,,1905/1915,"14,1","8,3"
001AAN005174,Coreto,"Coreto ao centro de um parque. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910-01-01,1908,1909,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 8,3 x 14,1 cm / sp: 9,5 x 14,5 cm (aprox.) / st: 24,5 x 36 cm",Jardim Botânico - provavelmente,circa,,1908/1909,"14,1","8,3"
001AAN005175,Jardim em frente a grande edificação,"Jardim em frente a uma grande edificação. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910-01-01,1908,1909,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 8,3 x 14,1 cm / sp: 9,5 x 14,5 cm (aprox.) / st: 24,5 x 36 cm",Jardim Botânico - provavelmente,circa,,1908/1909,"14,1","8,3"
001AAN005176,Jardim em frente a grande edificação,"Jardim em frente a uma grande edificação. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910-01-01,1908,1909,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 8,3 x 14,1 cm / sp: 9,5 x 14,5 cm (aprox.) / st: 24,5 x 36 cm",Jardim Botânico - provavelmente,circa,,1908/1909,"14,1","8,3"
001AAN005200,Paisagem marítima,"Paisagem marítima com morros e cidade não identificada. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910-01-01,1908,1909,FOTOGRAFIA/ Papel,GELATINA/ Prata,"i: 8,3 x 14,1 cm / sp: 9,5 x 14,5 cm (aprox.) / st: 24,5 x 36 cm",,circa,,1908/1909,"14,1","8,3"
001AAN014010,Entrada da Baía de Guanabara,"Entrada externa da baía de Guanabara, vista de Niterói, tendo ao fundo a cadeia montanhosa da cidade.",Marc Ferrez,1880-01-01,,,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i: 15,0 x 21,8 cm; sp: 16,0 x 21,8 cm; ss: 26,0 x 35,5 cm.",Baía de Guanabara,circa,,,"21,8","15,0"
001AAN014011,Escola Militar,"A Escola Militar tem suas origens relacionadas à Escola Politécnica, antiga Escola Central, localizada no Largo de São Francisco de Paula no prédio erguido especialmente para abrigar uma escola de ensino superior. A Escola Politécnica estava ligada a Academia Real Militar, depois Escola Militar, transferida em 1812 da Casa do Trem para o Largo de São Francisco. Em 1851 passou pela primeira grande reforma, que a dividiu em duas: a Escola Militar propriamente dita e a de Aplicação, instalada provisoriamente na fortaleza de São João. Posteriormente, graças à intervenção do Ministro da Guerra Jerônimo Coelho, a Escola Militar passou a denominar-se Central, dedicada especialmente ao aperfeiçoamento científico dos seus alunos, e a de Aplicação, na Praia Vermelha, transformou-se em 1859 em Militar e de Aplicação. Em 1874, a totalidade do ensino militar passou para a escola da Praia Vermelha.",Marc Ferrez,1880-01-01,1875,1885,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i: 15,0 x 21,8 cm; sp: 16,0 x 21,8 cm; ss: 26,0 x 35,5 cm.",Praia Vermelha,circa,,1875/1885,"21,8","15,0"
001AAN014013,Corcovado - Caminho do Aqueduto,"Ao que tudo indica, o caminho apresentado na imagem trata-se da estrada do Silvestre, assim batizada por causa de Silvestre Pires de Carvalho, dono de uma chácara em Santa Teresa adquirida em 1853 pelo governo para um novo reservatório a serviço da água que descia do Rio da Carioca para os chafarizes do Largo de mesmo nome. A chácara ficava no fim da rua do Aqueduto (atual Almirante Alexandrino), lugar da futura estação de trem do Corcovado. É provável que essa estrada seja um dos primeiros caminhos que levavam ao Corcovado.",Marc Ferrez,1886-01-01,1881,1891,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i: 15,0 x 21,8 cm; sp: 16,0 x 21,8 cm; ss: 26,0 x 35,5 cm.",Estrada do Silvestre,circa,,1881/1891,"21,8","15,0"
001AAN014015,Vista tomada do Morro do Castelo,"Vista da praça Dom Pedro II, atual XV de Novembro, e do porto da cidade, a partir do Morro do Castelo.",Marc Ferrez,1885-01-01,1880,1890,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i: 15,0 x 21,8 cm; sp: 16,0 x 21,8 cm; ss: 26,0 x 35,5 cm.",Centro,circa,,1880/1890,"21,8","15,0"
001AAN014016,Praça XV de Novembro,"A Praça D. Pedro II passou a ser assim chamada no Segundo Reinado. Apesar disso, a área era chamada pela população - até pelo menos o início do século XX -  Largo do Paço, por causa do palácio real, e depois imperial, mandado construir por Gomes Freire (futuro Conde de Bobadela) no século XVIII. Foi inicialmente destinado a ser sede do governo e casa dos governadores. Seus alicerces foram fincados em frente ao convento do Carmo, no lugar antes ocupado pela Casa da Moeda. A praça também já havia sido chamada Largo do Rócio e Terreiro da Polé (porque ali ficava o pelourinho, popularmente chamado polé). Em 1889, com a Proclamação da República, a praça passa definitivamente a chamar-se Praça XV de Novembro. A praça foi remodelada em 1894, ganhando um novo jardim com um monumento em homenagem à memória do General Osório, feita por Rodolfo Bernardelli.",Marc Ferrez,1897-01-01,1897,1897,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i: 15,0 x 21,8 cm; sp: 16,0 x 21,8 cm; ss: 26,0 x 35,5 cm.",Centro,year,1897,1897/1897,"21,8","15,0"
001ACL017001,"Cais Pharoux e adjacências, da Ilha das Cobras","Vista panorâmica do porto, visto da Ilha das Cobras.
Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",Georges Leuzinger,1865-01-01,,,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i/sp: 19,2 x 24 cm",Praça 15,circa,,,24,"19,2"
001ACL017002,Largo do Paço visto do morro do Castelo,"Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",Georges Leuzinger,1885-01-01,1880,1890,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i/sp: 19,2 x 24 cm",Centro,circa,,1880/1890,24,"19,2"
001ACL017003,O Palácio Imperial,"Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",Georges Leuzinger,1870-01-01,1865,1875,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i/sp: 19,2 x 24 cm",São Cristóvão,circa,,1865/1875,24,"19,2"
001ACL017004,"Praça D. Pedro II, atual Praça XV de novembro; ao centro, Chafariz do mestre Valentim; ao fundo, convento e igreja do Carmo, ligados por passadiço","Monumental chafariz de Mestre Valentim, uma das poucas peças coloniais que resistiu à força modernizadora do começo do século XX. Considerado obra prima no trabalho de cantaria, foi construído entre 1780 e 1789, e figurou por quase um século como principal chafariz da cidade. Ao fundo, aparecem a Capela Imperial e a Igreja do Carmo.
Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",Georges Leuzinger,1866-01-01,1881,,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i/sp: 19,2 x 24 cm","Praça D. Pedro II, atual praça 15 de Novembro",circa,,,24,"19,2"
001ACL017005,Catete e entrada da barra,"Fotografia do Catete por volta de 1870, na qual contemplamos a entrada da barra. À direita parte do morro da Glória. No centro, impondo-se às demais construções, está o palacete do Barão de Friburgo. Construído em 1862, o palacete visou agradar a baronesa que tinha gosto pela vida urbana e gostava de ver a paisagem da cidade, fato que contrastava com a vida que o casal levava nas fazendas deste Barão do Café, em Friburgo. Proclamada a república, tornou-se alguns anos depois sede do governo.
Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",Georges Leuzinger,1870-01-01,1865,1875,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i/sp: 19,2 x 24 cm",Catete,circa,,1865/1875,24,"19,2"
001ACL017006,"Largo de São Francisco, em destaque, a real Academia Militar","A Academia que vemos ao centro foi criada em 1810 a partir de parte da obra inacabada da Sé da cidade, que começou a ser levantada em 1750. O próprio prédio militar só ficou pronto entre 1820 e 1830. Destinado a abrigar instituições educacionais do país, nos anos subseqüentes o espaço foi usado pela Escola Militar (1842), Escola Politécnica (1874) e durante todo o século XX e XXI pelo IFCS-UFRJ (Instituto de Filosofia e Ciências Sociais da Universidade Federal do Rio de Janeiro. 
Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",Georges Leuzinger,1865-01-01,1860,1870,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i/sp: 19,2 x 24 cm",Largo de São Francisco,circa,,1860/1870,24,"19,2"
001ACL017007,Passeio Público,"Passeio Público hoje um parque próximo aos Arcos da Lapa, mas até o final do século XVIII, era uma lagoa chamada de Boqueirão da Ajuda.
Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",Georges Leuzinger,1865-01-01,1860,1870,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i/sp: 19,2 x 24 cm",Centro,circa,,1860/1870,24,"19,2"
001ACL017008,"Cais da Glória, Lapa, Passeio e Santa Luzia","Em fotografia tirada do Outeiro da Glória, podemos ver a enseada da Glória com a Lapa e o Passeio ao fundo. À direita vemos o Morro do Castelo, primeira área ocupada na cidade depois do descobrimento. A igrejinha que vemos logo abaixo do Morro do Castelo é a de Santa Luzia, a mais antiga da cidade. Foi erguida em 1592 por pescadores e passou por duas grandes reformas, em 1752 e 1872. Há indícios de que o lugar onde se encontra hoje não é o mesmo de 1592; suas paredes estavam em situação precária e era muito perto do mar, motivos para reconstruí-la em terreno melhor. Este novo local não era distante e foi doado pela Irmandade de mesmo nome, criada por volta de 1519. À esquerda, bem abaixo, vemos um pedaço do Mercado da Glória, construído em 1857 e demolido durante as reformas urbanas entre 1903 e 1906. A cadeia de montanhas bem ao fundo faz parte da Serra dos Órgãos.
Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",Georges Leuzinger,1866-01-01,1861,1871,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i/sp: 19,2 x 24 cm",Enseada da Glória,circa,,1861/1871,24,"19,2"
001ACL017009,São Domingos e a embarcadeira,"São Domingos e a embarcadeira, com a vista do Rio de Janeiro ao fundo (destacando-se seus morros). O bairro, um dos mais antigos de Niterói, era área pertencente à Sesmaria dos Índios. Foi ocupado pelo colonizador português, que em suas terras estabeleceu uma plantação de cana de açúcar e um engenho, além de fundar uma pequena igreja, a atual Igreja de São Domingos.  
Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",Georges Leuzinger,1866-01-01,1861,1871,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i/sp: 19,2 x 24 cm",São Domingos,circa,,1861/1871,24,"19,2"
001ACL017010,Cachoeira,"Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",Georges Leuzinger,1865-01-01,1860,1870,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i/sp: 24,0 x 19,2 cm",,circa,,1860/1870,"19,2","24,0"
001ACL017011,Ilha das Cobras (de S. Bento),"Ilha que desde o início fez parte do sistema de defesa da  cidade, pois em 1641 foi construído lá o Forte de Santa Margarida. Porém, as defesas da cidade não foram capazes de conter as investidas do Corsário francês Dugay Trouin  que em 1711 invadiu a  cidade se apoderando antes da Ilha das Cobras. Depois de expulsar o invasor,  a ilha foi fortificada em 1735, com o Forte São José que além de Forte, foi usado como prisão, abrigando, inclusive, Tiradentes. No primeiro império a ilha passou para o Ministério da Marinha que construiu dois diques e um hospital na ilha. Permance hoje com instalações navais, além de ter, tombados, a porta em granito da antiga fortaleza e o frontispicio da capela da luz.
Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",Georges Leuzinger,1866-01-01,1861,1870,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i/sp: 19,2 x 24 cm",Centro,circa,,1861/1870,24,"19,2"
001ACL017012,Pedra de Itapuca,"Pedra de Itapuca é uma formação rochosa que se localiza entre a Praia de Icaraí, no bairro de Icaraí e Praia das Flechas, no bairro do Ingá, no município de Niterói. Foi tombada em 1985 pelo Instituto Estadual do Patrimônio Cultural. 
Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",Georges Leuzinger,1865-01-01,1860,1870,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i/sp: 19,2 x 24 cm",Praia das Flechas,circa,,1860/1870,24,"19,2"
001ACL017013,"A Glória, do Passeio Público","A Glória vista do Passeio Público. A Glória surgiu a mando do vice-rei Marquês do Lavradio para preparar feiras livres de impostos e normalizar, assim, o abastecimento das capitanias do Rio e de Minas no século XVIII. 
Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",Georges Leuzinger,1865-01-01,1860,1875,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i/sp: 19,2 x 24 cm",Centro,circa,,1860/1875,24,"19,2"
001ACL017014,Morro do Pinto,"O morro do Pinto é um morro situado no bairro do Santo Cristo.
Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",Georges Leuzinger,1865-01-01,1860,1870,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i/sp: 19,2 x 24 cm",Centro,circa,,1860/1870,24,"19,2"
