qid,Qid,P31,Lpt-br,Dpt-br,Den,P571,qal1319,qal1326,P17,P1259,qal2044,qal7787,qal8208,P170,P186,P195,P217,P2079,P4036,P2049,P2048,P7835
Q65620100,,Q125191,Jardim Botânico,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.968829965488855/-43.22166728457663,12.88276610333001U11573,-92.2347340882854U28390,100.46523221311041U28390,Q4233718,Q11472,Q71989864,001AAN005136,Q172984,49.99U28390,14.1U174728,8.3U174728,79139
Q65620101,,Q125191,Jardim Botânico,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.96865417679236/-43.222232021120405,13.106411554546401U11573,-105.4809982336757U28390,103.7954807792489U28390,Q4233718,Q11472,Q71989864,001AAN005137,Q172984,50.0U28390,14.1U174728,8.3U174728,79140
Q65621322,,Q125191,Jardim Botânico,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.96906668261828/-43.22215960947168,7.766263593352826U11573,-50.942861189523384U28390,95.60866157948149U28390,Q4233718,Q11472,Q71989864,001AAN005138,Q172984,39.99U28390,14.1U174728,8.3U174728,79141
Q65621323,,Q125191,Jardim Botânico,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.96581773001592/-43.22655661012372,12.56218781480848U11573,-58.555865903360974U28390,95.88485766878648U28390,Q4233718,Q11472,Q71989864,001AAN005139,Q172984,50.0U28390,14.1U174728,8.3U174728,79142
Q65621324,,Q125191,Jardim Botânico,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.966745958999986/-43.22320421599993,8.168164142099911U11573,-50.09U28390,95.30000000000015U28390,Q4233718,Q11472,Q71989864,001AAN005140,Q172984,50.0U28390,14.1U174728,8.3U174728,79143
Q65621654,,Q125191,Vista do Pão de Açúcar,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.937310218906102/-43.203231827655436,185.1326463320931U11573,114.70001005862379U28390,93.26856996120227U28390,Q4233718,Q11472,Q71989864,001AAN005141,Q172984,43.14U28390,14.1U174728,8.3U174728,79144
Q65620106,,Q125191,Vista da lagoa Rodrigo de Freitas,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.97321065511654/-43.24918077856867,413.72763579282486U11573,74.6282125132076U28390,93.50186170660831U28390,Q4233718,Q11472,Q71989864,001AAN005142,Q172984,43.67U28390,14.1U174728,8.3U174728,79145
Q65620107,,Q125191,Vista da lagoa Rodrigo de Freitas,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.969616488999986/-43.255748961000045,459.41952052849985U11573,87.2814935362767U28390,92.85555007725235U28390,Q4233718,Q11472,Q71989864,001AAN005143,Q172984,46.7U28390,14.1U174728,8.3U174728,79171
Q65620108,,Q125191,Vista de rua comercial,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.903888228714692/-43.17857817932843,8.189093268318528U11573,59.841811216568225U28390,94.06357737131624U28390,Q4233718,Q11472,Q71989864,001AAN005144,Q172984,50.0U28390,14.1U174728,8.3U174728,79146
Q65620109,,Q125191,"Vista da lagoa Rodrigo de Freitas, Ipanema e Leblon.",Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.973678811/-43.25009595199997,78.70380393185104U11573,108.7666729579925U28390,92.00091198961918U28390,Q4233718,Q11472,Q71989864,001AAN005145,Q172984,42.48U28390,14.1U174728,8.3U174728,79147
Q65620110,,Q125191,Vista da enseada de Botafogo e Pão de Açúcar a partir do Corcovado,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.951872150272923/-43.21045834765036,714.6827258657622U11573,92.06175692367722U28390,87.69136517212058U28390,Q4233718,Q11472,Q71989864,001AAN005146,Q172984,43.42U28390,14.1U174728,8.3U174728,79148
Q65620111,,Q125191,Vista do Pão de Açúcar,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.948836283344676/-43.136687736530355,21.76602252054386U11573,-88.83818297983805U28390,97.64151748459422U28390,Q4233718,Q11472,Q71989864,001AAN005147,Q172984,44.42U28390,14.1U174728,8.3U174728,79172
Q65620112,,Q125191,Entrada da Barra,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.93103810400006/-43.139698574999954,18.01467596832574U11573,-116.25383981534951U28390,95.43139240862652U28390,Q4233718,Q11472,Q71989864,001AAN005148,Q172984,42.39U28390,14.1U174728,8.3U174728,79149
Q65621326,,Q125191,Vista do Pão de Açúcar,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.9520403139632/-43.13340404671221,5.246781383211291U11573,-80.41150576029015U28390,98.56582424638826U28390,Q4233718,Q11472,Q71989864,001AAN005149,Q172984,43.18U28390,14.1U174728,8.3U174728,79173
Q65620114,,Q125191,Baía de Guanabara,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.89044110200001/-43.153183485000035,13.68248835228522U11573,-133.1224134126658U28390,92.02052169386444U28390,Q4233718,Q11472,Q71989864,001AAN005150,Q172984,42.7U28390,14.1U174728,8.3U174728,79150
Q65621327,,Q125191,Vista do Pão de Açúcar,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.955330455974714/-43.12852523329806,5.939413460398304U11573,-77.72299134517834U28390,97.3652285281518U28390,Q4233718,Q11472,Q71989864,001AAN005151,Q172984,38.88U28390,14.1U174728,8.3U174728,79151
Q64214710,,Q125191,Largo do Paço visto do morro do Castelo,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1885-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.90824677790332/-43.17371909469376,74.97374122780293U11573,0.1544842902038547U28390,87.01113981931542U28390,Q5877879,Q11472,Q71989864,001ACL017002,Q580807,49.9982U28390,24U174728,19.2U174728,79082
Q65620119,,Q125191,"Largo de São Francisco, em destaque, a real Academia Militar",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1865-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.90468935943758/-43.18057255153133,13.77300025760484U11573,-139.4830409146529U28390,85.9598349055846U28390,Q5877879,Q11472,Q71989864,001ACL017006,Q580807,50.0028U28390,24U174728,19.2U174728,76243
Q65620120,,Q125191,"Cemitério São João Batista, Botafogo e Pão de Açúcar, da chácara do sr. Rocha",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.9597817309962/-43.19318010575777,93.35486299911837U11573,71.13587114839332U28390,87.12763772163773U28390,Q5877879,Q11472,Q71989864,001ACL017018,Q580807,46.85U28390,24U174728,19.2U174728,79083
Q65620121,,Q125191,Hotel Bennett,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.97049345999999/-43.28085126499999,318.32187893281736U11573,-80.03471843260219U28390,92.62951197833158U28390,Q5877879,Q11472,Q71989864,001ACL017022,Q580807,27.94U28390,19.2U174728,24.0U174728,79084
Q65621328,,Q125191,Palácio Monroe,,,1911-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.911100168128662/-43.17520894078682,28.556194614887236U11573,-168.3423321698099U28390,90.30562800509657U28390,,Q11472,Q71989864,001AE001001,FOTOGRAVURA/ Pigmento,34.92U28390,23.6U174728,17.3U174728,79128
Q65620134,,Q125191,Praia de Botafogo e Corcovado,,,1911-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.94217298002408/-43.17563033409676,58.06188895745576U11573,-104.9438268234067U28390,87.69231425032619U28390,,Q11472,Q71989864,001AE001002,FOTOGRAVURA/ Pigmento,45.35U28390,25.8U174728,17.3U174728,79127
Q97772920,,Q125191,Vista da baía de Guanabara,,,1911-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.945007489959103/-43.196354523595936,356.4809365937527U11573,85.13025700015828U28390,86.19243386592008U28390,,Q11472,Q71989864,001AE001003,FOTOGRAVURA/ Pigmento,86.33U28390,40.9U174728,18.3U174728,79126
Q97772880,,Q125191,Copacabana,Fotografia de José dos Santos Affonso,Photograph by José dos Santos Affonso,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.96321276639027/-43.18311014630702,80.06508245318906U11573,-169.1823339273841U28390,83.89055658099636U28390,Q63993961,Q11472,Q71989864,001AF001001,Q172984,51.42U28390,12.8U174728,7.9U174728,79090
Q65620135,,Q125191,Palácio Monroe,Fotografia de José dos Santos Affonso,Photograph by José dos Santos Affonso,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.91118278500023/-43.175167985000016,47.60182364329482U11573,-175.6790846853212U28390,94.68439593943474U28390,Q63993961,Q11472,Q71989864,001ALA011001,Q172984,50.0U28390,21.6U174728,15.8U174728,75589
Q65620136,,Q125191,Teatro Municipal,Fotografia de José dos Santos Affonso,Photograph by José dos Santos Affonso,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.91001633390647/-43.17533165721228,15.35989628219779U11573,-45.809166003198975U28390,90.70699400736437U28390,Q63993961,Q11472,Q71989864,001ALA011002,Q172984,50.0U28390,22.0U174728,15.8U174728,75590
Q65620138,,Q125191,Avenida Rio Branco,Fotografia de José dos Santos Affonso,Photograph by José dos Santos Affonso,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.90432219960969/-43.17809338455737,30.19990115103176U11573,-1.9690487266939751U28390,91.93722008656758U28390,Q63993961,Q11472,Q71989864,001ALA011003,Q172984,50.0U28390,15.9U174728,21.9U174728,75591
Q97772735,,Q125191,Avenida Niemeyer,,,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-23.000055778045372/-43.24166334451462,60.170155613240574U11573,-103.649609070268U28390,87.6178189857896U28390,,Q11472,Q71989864,001ALA011004,Q172984,50.0U28390,21.9U174728,15.9U174728,75592
Q65620139,,Q125191,Pão de Açúcar visto da Urca,,,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.95094814440576/-43.164241222046535,227.8966395210065U11573,75.98309520748886U28390,93.46603065019676U28390,,Q11472,Q71989864,001ALA011005,Q172984,50.0U28390,21.6U174728,15.7U174728,75593
Q65620140,,Q125191,Vista tirada do Pão de Açúcar,,,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.950740678000003/-43.15830248099976,356.87615103543U11573,-126.4942844983618U28390,85.7447254719709U28390,,Q11472,Q71989864,001ALA011006,Q172984,50.0U28390,21.9U174728,16.0U174728,75594
Q97772737,,Q125191,Pão de Açúcar,,,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.94942686360016/-43.15680483412169,381.76552344943565U11573,106.9265319089056U28390,120.6282603238762U28390,,Q11472,Q71989864,001ALA011007,Q172984,50.0U28390,15.9U174728,21.9U174728,75595
Q65620141,,Q125191,Vista do Pão de Açúcar,,,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.951084794831036/-43.16348768388728,220.6202067767971U11573,64.61736943392056U28390,93.37907492298662U28390,,Q11472,Q71989864,001ALA011008,Q172984,65.0U28390,21.7U174728,15.8U174728,75630
Q97772740,,Q125191,Crepúsculo na Avenida Niemeyer,,,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-23.000157186000013/-43.24188367599999,44.3066615783546U11573,-99.28685570041178U28390,96.31077159233016U28390,,Q11472,Q71989864,001ALA011009,Q172984,50.73U28390,21.9U174728,16.0U174728,75596
Q97772742,,Q125191,Luar na Praia da Gávea,,,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-23.000606572870808/-43.245895280931556,40.92107717195664U11573,-93.65770047954308U28390,97.65952273918792U28390,,Q11472,Q71989864,001ALA011010,Q172984,62.0U28390,21.9U174728,16.0U174728,75597
Q97772766,,Q125191,Copacabana e Avenida Delfim Moreira,,,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.94493405483323/-43.1964270246585,372.7921047192651U11573,-177.1401364984507U28390,81.96779122137639U28390,,Q11472,Q71989864,001ALA011011,Q172984,50.0U28390,22.0U174728,16.0U174728,75631
Q65620143,,Q125191,Praia de Botafogo,,,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.94535614676973/-43.193434669873355,299.8364172847587U11573,89.92131487551464U28390,84.94474175513302U28390,,Q11472,Q71989864,001ALA011012,Q172984,50.0U28390,21.8U174728,16.1U174728,75598
Q97772767,,Q125191,"Praia da Saudade, vista tomada da Urca",,,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.951625433813422/-43.165278156450825,222.1007272130267U11573,-103.590608255213U28390,80.73685928533041U28390,,Q11472,Q71989864,001ALA011013,Q172984,51.7648U28390,21.9U174728,15.9U174728,75632
Q65620144,,Q125191,Botafogo visto do Pão de Açúcar,,,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.949487091177648/-43.156697510833645,415.35734959182014U11573,-88.28728010329216U28390,88.57938847377454U28390,,Q11472,Q71989864,001ALA011014,Q172984,50.0U28390,21.9U174728,16.0U174728,75599
Q97772743,,Q125191,Copacabana e Leme,,,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.97994515400002/-43.18960644600002,8.713380724884809U11573,33.28043977542119U28390,92.76049069060446U28390,,Q11472,Q71989864,001ALA011015,Q172984,50.0U28390,21.9U174728,16.0U174728,75600
Q65621329,,Q125191,Praia de Botafogo,,,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.94268536679153/-43.175358532826756,47.25344512348375U11573,-110.39554338210009U28390,93.59459705082823U28390,,Q11472,Q71989864,001ALA011016,Q172984,50.0U28390,21.7U174728,15.7U174728,75601
Q97772744,,Q125191,"Hotel Central, na Praia do Flamengo",,,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.93382421309413/-43.174409975297316,10.295546436115131U11573,-15.94292284275462U28390,97.18283857904557U28390,,Q11472,Q71989864,001ALA011017,Q172984,50.98U28390,21.9U174728,16.0U174728,75602
Q65621330,,Q125191,Avenida Rio Branco,,,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.912042885596424/-43.17560348867722,10.796898913240021U11573,-6.41838501126095U28390,102.1018202610543U28390,,Q11472,Q71989864,001ALA011018,Q172984,50.0U28390,21.9U174728,16.0U174728,75633
Q97772745,,Q125191,Avenida Central,,,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.90846122600916/-43.17655667941371,33.37805402317247U11573,151.85646196724431U28390,84.10961428685965U28390,,Q11472,Q71989864,001ALA011019,Q172984,50.0U28390,21.9U174728,16.0U174728,75603
Q65621331,,Q125191,Avenida Rio Branco,,,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.909752228379826/-43.17588918936473,11.54559417106529U11573,-32.846635403133924U28390,102.21231162145149U28390,,Q11472,Q71989864,001ALA011020,Q172984,50.0U28390,21.9U174728,16.0U174728,75604
Q97772545,,Q125191,Palácio Guanabara,Fotografia de Augusto Malta,Photograph by Augusto Malta,1913-08-20T00:00:00Z/11,,,Q155,@-22.93719991134459/-43.183753514684774,14.207509713895359U11573,-150.4624630864627U28390,102.9504383320865U28390,Q16495239,Q11472,Q71989864,001AM001001,Q172984,60.28U28390,23U174728,17U174728,19343
Q97772546,,Q125191,Vista da aléia das palmeiras a partir do Palácio Guanabara,Fotografia de Augusto Malta,Photograph by Augusto Malta,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.937567645409423/-43.18393536196308,17.713357187272532U11573,66.77322707275275U28390,88.06745263997347U28390,Q16495239,Q11472,Q71989864,001AM002001,Q580807,60.523U28390,16.4U174728,22.2U174728,19347
Q97772547,,Q125191,Terraço do Palácio da Guanabara,Fotografia de Augusto Malta,Photograph by Augusto Malta,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.937599292324208/-43.183882138915536,16.88300367975717U11573,7.808288772475238U28390,88.02023927209379U28390,Q16495239,Q11472,Q71989864,001AM002002,Q580807,59.96U28390,16.4U174728,22.3U174728,19348
Q97772804,,Q125191,Escola Estácio de Sá,Fotografia de Augusto Malta,Photograph by Augusto Malta,1915-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.91419170763249/-43.2076208556376,12.69157524005091U11573,82.13142106814651U28390,97.18710434239895U28390,Q16495239,Q11472,Q71989864,001AM003,Q172984,40.14U28390,22.8U174728,17U174728,77544
Q97772805,,Q125191,Igreja Positivista do Brasil,Fotografia de Augusto Malta,Photograph by Augusto Malta,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.920882354248963/-43.17923048821137,16.852914058726252U11573,-27.04885543849421U28390,90.96943297641157U28390,Q16495239,Q11472,Q71989864,001AM004,Q172984,50.0U28390,22.8U174728,17.1U174728,77545
Q65620149,,Q125191,Inauguração da Estátua da Amizade em frente a Igreja de Santa Luzia,Fotografia de Augusto Malta,Photograph by Augusto Malta,1931-07-04T00:00:00Z/11,,,Q155,@-22.91056727574719/-43.171647171094214,10.343286979753369U11573,-30.38157482790955U28390,86.45197872306545U28390,Q16495239,Q11472,Q71989864,001AM005001,Q580807,50.0U28390,23.3U174728,17U174728,19349
Q97772548,,Q125191,Inauguração da Estátua da Amizade em frente a Igreja de Santa Luzia,Fotografia de Augusto Malta,Photograph by Augusto Malta,1931-07-04T00:00:00Z/11,,,Q155,@-22.90996309464027/-43.171729106516025,13.86265837109769U11573,-57.95099827634716U28390,96.60437246561924U28390,Q16495239,Q11472,Q71989864,001AM005002,Q172984,50.0U28390,23.4U174728,16.9U174728,19350
Q97772806,,Q125191,Quinta da Boa Vista,Fotografia de Augusto Malta,Photograph by Augusto Malta,1915-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.907057576950496/-43.224919089157645,9.007015522536431U11573,-82.32411077023852U28390,91.1044735532202U28390,Q16495239,Q11472,Q71989864,001AM006,Q172984,50.0U28390,23U174728,17U174728,77546
Q97772807,,Q125191,"Jockey Club, com a Pedra da Gávea ao fundo",Fotografia de Augusto Malta,Photograph by Augusto Malta,1925-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.974214321999998/-43.22475174299999,27.17013514203016U11573,-122.387197599847U28390,89.80999999999996U28390,Q16495239,Q11472,Q71989864,001AM008,Q172984,50.0U28390,22.8U174728,17.5U174728,77547
Q65620150,,Q125191,Praça Marechal Floriano,Fotografia de Augusto Malta,Photograph by Augusto Malta,1920-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.910332321147212/-43.176307921316436,32.77925914742813U11573,3.9314598006671786U28390,83.82113434024848U28390,Q16495239,Q11472,Q71989864,001AM010,Q172984,50.0U28390,22.7U174728,16.8U174728,77548
Q97772808,,Q125191,Praça Tiradentes,Fotografia de Augusto Malta,Photograph by Augusto Malta,1924-01-01T00:00:00Z/9,,,Q155,@-22.90750326928984/-43.18345167624908,8.384852994631236U11573,81.63115450723114U28390,88.9546160374994U28390,Q16495239,Q11472,Q71989864,001AM011,Q172984,50.0U28390,22.9U174728,17.5U174728,77549
Q97772811,,Q125191,Bonde em frente a Igreja do Santíssimo Sacramento da Antiga Sé,Fotografia de Augusto Malta,Photograph by Augusto Malta,1924-05-28T00:00:00Z/11,,,Q155,@-22.904001382148643/-43.183515691227576,9.187814672210383U11573,158.825141777114U28390,88.41485951872005U28390,Q16495239,Q11472,Q71989864,001AM013,Q172984,60.21U28390,22.9U174728,17.4U174728,77552
