identifier,title,description,author,date,start_date,end_date,dimensions,fabrication_method,place,accurate_date,image_width,image_height,lat,lng,height,heading,tilt,fov,geometry,image
001AAN005136,Jardim Botânico,Vegetação do Jardim Botânico.,Anônimo,1910-01-01,1905-01-01,1915-01-01,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",GELATINA/ Prata,Bairro Jardim Botânico,False,"14,1","8,3",-22.96883,-43.221667,12.88,-92.23,100.47,50.0,"POLYGON ((-43.22166728457663 -22.96882996548885, -43.22514138707658 -22.97047589771599, -43.22529987746339 -22.97015444809099, -43.22542338297001 -22.96982024324643, -43.22551071440349 -22.96947650184001, -43.22556103097745 -22.96912653434933, -43.22557384839915 -22.96877371118776, -43.22554904352265 -22.96842143024424, -43.22548685552346 -22.96807308415937, -43.22538788358403 -22.96773202765313, -43.22527005500641 -22.96743822224869, -43.22166728457663 -22.96882996548885))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AAN005136.jpg
001AAN005137,Jardim Botânico,Aléia de palmeiras no Jardim Botânico.,Anônimo,1910-01-01,1905-01-01,1915-01-01,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",GELATINA/ Prata,Bairro Jardim Botânico,False,"14,1","8,3",-22.968654,-43.222232,13.11,-105.48,103.8,50.0,"POLYGON ((-43.22223202112041 -22.96865417679236, -43.22520384829429 -22.97098948921721, -43.22543814964462 -22.97071004792387, -43.2256415728204 -22.97041080747625, -43.22581215887354 -22.97009464984497, -43.22594826514445 -22.96976461990849, -43.22604858107484 -22.96942389612519, -43.22611214082081 -22.96907575991958, -43.22613833254463 -22.9687235640778, -43.22612690429639 -22.96837070045674, -43.22608524473744 -22.96805923092811, -43.22223202112041 -22.96865417679236))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AAN005137.jpg
001AAN005138,Jardim Botânico,Aléia de palmeiras no Jardim Botânico.,Anônimo,1910-01-01,1905-01-01,1915-01-01,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",GELATINA/ Prata,Bairro Jardim Botânico,False,"14,1","8,3",-22.969067000000003,-43.222159999999995,7.77,-50.94,95.61,40.0,"POLYGON ((-43.22215960947169 -22.96906668261828, -43.22585238330275 -22.96789179146984, -43.2257095225831 -22.96756419127303, -43.22553247539593 -22.96725106110743, -43.22532294697067 -22.96695541647703, -43.22508295529881 -22.96668010447758, -43.22481481169477 -22.96642777638223, -43.22452109853445 -22.96620086211343, -43.22420464438513 -22.9660015468466, -43.22416879433824 -22.96598151322437, -43.22215960947169 -22.96906668261828))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AAN005138.jpg
001AAN005139,Jardim Botânico,Pequena edificação no interior do jardim Botânico.,Anônimo,1910-01-01,1905-01-01,1915-01-01,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",GELATINA/ Prata,Bairro Jardim Botânico,False,"14,1","8,3",-22.965818,-43.226557,12.56,-58.56,95.88,50.0,"POLYGON ((-43.22655661012372 -22.96581773001592, -43.23043886879594 -22.96541394409639, -43.23037718494315 -22.96506552223781, -43.23027870747858 -22.96472434494968, -43.23014438504868 -22.96439369788873, -43.22997551147328 -22.96407676527825, -43.22977371327674 -22.96377659924569, -43.22954093401684 -22.96349609043314, -43.22927941556217 -22.96323794016347, -43.22899167649875 -22.96300463443015, -43.22871613102072 -22.96281993074113, -43.22655661012372 -22.96581773001592))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AAN005139.jpg
001AAN005140,Jardim Botânico,Estátua no interior do Jardim Botânico.,Anônimo,1910-01-01,1905-01-01,1915-01-01,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",GELATINA/ Prata,Bairro Jardim Botânico,False,"14,1","8,3",-22.966746,-43.223203999999996,8.17,-50.09,95.3,50.0,"POLYGON ((-43.22320421599993 -22.96674595899999, -43.2269796288636 -22.9658203285644, -43.22686290688841 -22.96548406445557, -43.22671095070342 -22.96515995337006, -43.22652522393098 -22.96485111657646, -43.22630751537714 -22.96456052822744, -43.22605992179847 -22.96429098672139, -43.22578482770512 -22.96404508775713, -43.2254848823949 -22.96382519934109, -43.22516297443935 -22.9636334389873, -43.22486089813011 -22.96348809826705, -43.22320421599993 -22.96674595899999))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AAN005140.jpg
001AAN005141,Vista do Pão de Açúcar,Pão de Açúcar visto do morro de Santa Tereza.,Anônimo,1910-01-01,1905-01-01,1915-01-01,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",GELATINA/ Prata,Santa Tereza,False,"14,1","8,3",-22.93731,-43.203232,185.13,114.7,93.27,43.2,"POLYGON ((-43.20323182765544 -22.9373102189061, -43.1993315169055 -22.93750658935046, -43.19937119326814 -22.93785771375051, -43.19944805009985 -22.93820356590208, -43.19956134749675 -22.9385408150069, -43.19970999458478 -22.93886621309557, -43.19989256001612 -22.93917662631017, -43.20010728574595 -22.93946906508878, -43.20035210395726 -22.93974071296091, -43.2005316199801 -22.93990961115675, -43.20323182765544 -22.9373102189061))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AAN005141.jpg
001AAN005142,Vista da lagoa Rodrigo de Freitas,"Vista a partir da Vista Chinesa, no Alto da Tijuca, com lagoa Rodrigo de Freitas ao centro, Corcovado à esquerda e, ao fundo, o Pão de Açúcar e a enseada de Botafogo.",Anônimo,1910-01-01,1905-01-01,1915-01-01,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",GELATINA/ Prata,Lagoa Rodrigo de Freitas,False,"14,1","8,3",-22.973211,-43.249181,413.73,74.63,93.5,43.6,"POLYGON ((-43.24918077856867 -22.97321065511654, -43.24606893150037 -22.97103537214224, -43.24585233327177 -22.97132666960626, -43.24566778845475 -22.97163611096124, -43.24551707447429 -22.97196071623181, -43.24540164299119 -22.97229735938942, -43.24532260591408 -22.97264279845406, -43.24528072468178 -22.97299370671322, -43.24527640291998 -22.97334670475789, -43.24529843058103 -22.97361553675474, -43.24918077856867 -22.97321065511654))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AAN005142.jpg
001AAN005143,Vista da Lagoa Rodrigo de Freitas,"Vista a partir da Vista Chinesa, no Alto da Tijuca, com lagoa Rodrigo de Freitas ao centro, Corcovado à esquerda e, ao fundo, o Pão de Açúcar e a enseada de Botafogo.",Anônimo,1910-01-01,1905-01-01,1915-01-01,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",GELATINA/ Prata,Lagoa Rodrigo de Freitas,False,"14,1","8,3",-22.969616000000002,-43.255749,459.42,87.28,92.86,46.8,"POLYGON ((-43.25574896100004 -22.96961648899999, -43.25223940554408 -22.9680356412751, -43.25208800843876 -22.96835997536533, -43.25197186732784 -22.96869641065926, -43.25189210095329 -22.96904170717909, -43.25184947777697 -22.96939253958558, -43.2518444085696 -22.96974552920074, -43.25187694244377 -22.97009727654519, -43.25194676636981 -22.97044439407689, -43.25205320817913 -22.97078353881589, -43.25209243730845 -22.97088397119642, -43.25574896100004 -22.96961648899999))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AAN005143.jpg
001AAN005144,Vista de rua comercial,Vista de rua comercial.,Anônimo,1910-01-01,1905-01-01,1915-01-01,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",GELATINA/ Prata,Centro,False,"14,1","8,3",-22.903888000000002,-43.178578,8.19,59.84,94.06,50.0,"POLYGON ((-43.17857817932843 -22.90388822871469, -43.17634715553545 -22.90093580728334, -43.17604374668685 -22.90115146152057, -43.1757647443372 -22.9013934719839, -43.17551283541407 -22.9016595081147, -43.17529044597777 -22.90194700797303, -43.17509971785559 -22.90225320290537, -43.17494248801112 -22.90257514420342, -43.17482027084764 -22.90290973149724, -43.17473424361616 -22.90325374260976, -43.17468883458807 -22.90356476486474, -43.17857817932843 -22.90388822871469))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AAN005144.jpg
001AAN005145,Vista de Ipanema e Leblon,Vista da lagoa Rodrigo de Freitas com Ipanema e Leblon.,Anônimo,1910-01-01,1905-01-01,1915-01-01,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",GELATINA/ Prata,Leblon e Ipanema,False,"14,1","8,3",-22.973679,-43.250096,78.7,108.77,92.0,42.4,"POLYGON ((-43.25009595199997 -22.973678811, -43.24619241378923 -22.97352352507165, -43.24619467338426 -22.97387653941126, -43.24623450458927 -22.97422764997286, -43.24631152409519 -22.97457347534187, -43.24642499043198 -22.97491068497778, -43.24657381109895 -22.97523603129108, -43.24675655307689 -22.97554638092224, -43.24697145662089 -22.9758387449214, -43.24710311782831 -22.97599139178323, -43.25009595199997 -22.973678811))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AAN005145.jpg
001AAN005146,Vista da enseada de Botafogo,Vista da enseada de Botafogo e Pão de Açúcar a partir do Corcovado.,Anônimo,1910-01-01,1905-01-01,1915-01-01,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",GELATINA/ Prata,Morro do Corcovado,False,"14,1","8,3",-22.951872,-43.210458,714.68,92.06,87.69,43.4,"POLYGON ((-43.21045834765035 -22.95187215027292, -43.00368723171935 -22.88372438146816, -42.9974170168901 -22.90271563134785, -42.99319626088036 -22.92218147057019, -42.99106646393336 -22.94193459826933, -42.99104904405575 -22.96178486718972, -42.99314509602394 -22.98154111143191, -42.99733534521971 -23.00101298719485, -43.0035802981081 -23.02001280881331, -43.00930866638588 -23.0332811351484, -43.21045834765035 -22.95187215027292))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AAN005146.jpg
001AAN005147,Entrada da Barra,"O Pão de Açúcar visto da entrada da Barra. À esquerda, a antiga Escola Militar, já reformada, juntamente com outros pavilhões da Exposição de 1908 na praia Vermelha.",Anônimo,1910-01-01,1905-01-01,1915-01-01,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",GELATINA/ Prata,Baía de Guanabara,False,"14,1","8,3",-22.948836,-43.136688,21.77,-88.84,97.64,44.4,"POLYGON ((-43.13668773653035 -22.94883628334467, -43.14033359189711 -22.95012821582977, -43.14045354792618 -22.94979292219795, -43.14053723636627 -22.94944841597194, -43.14058385151719 -22.94909801499254, -43.14059294473407 -22.94874509384528, -43.14056442873706 -22.94839305136013, -43.14049857844069 -22.94804527787865, -43.14039602829516 -22.94770512260385, -43.14027363761681 -22.94740921440835, -43.13668773653035 -22.94883628334467))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AAN005147.jpg
001AAN005148,Entrada da Barra,"A entrada da Barra vista da baía com Corcovado ao fundo. À esquerda, o forte de Santa Cruz.",Anônimo,1910-01-01,1905-01-01,1915-01-01,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",GELATINA/ Prata,Baía de Guanabara,False,"14,1","8,3",-22.931038,-43.139699,18.01,-116.25,95.43,42.4,"POLYGON ((-43.13969857499995 -22.93103810400006, -43.14234001947374 -22.93368810514749, -43.14260933601071 -22.93343689796054, -43.14285061884312 -22.93316258892257, -43.14306154434625 -22.93286781991148, -43.14324008130772 -22.93255542983794, -43.14338451048484 -22.93222842730025, -43.14349344115539 -22.93188996160578, -43.14356582450307 -22.93154329243765, -43.14358932044225 -22.93135526033334, -43.13969857499995 -22.93103810400006))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AAN005148.jpg
001AAN005149,Entrada da Barra,"O Pão de Açúcar visto da entrada da Barra. À esquerda, a antiga Escola Militar, já reformada, juntamente com outros pavilhões da Exposição de 1908 na praia Vermelha.",Anônimo,1910-01-01,1905-01-01,1915-01-01,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",GELATINA/ Prata,Baía de Guanabara,False,"14,1","8,3",-22.95204,-43.133404,5.25,-80.41,98.57,43.2,"POLYGON ((-43.13340404671221 -22.9520403139632, -43.13722523621411 -22.95278827754903, -43.1372864478038 -22.95243978593956, -43.13731026941863 -22.95208744763795, -43.13729647193438 -22.95173465587141, -43.13724518852079 -22.95138480820777, -43.13715691334787 -22.95104127383547, -43.13703249681589 -22.95070736111781, -43.13687313735544 -22.9503862857339, -43.13674628961921 -22.95017794507176, -43.13340404671221 -22.9520403139632))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AAN005149.jpg
001AAN005150,Baía de Guanabara,"Vista da cidade a partir da baía de Guanabara. À direita, Ilha Fiscal, as torres sineiras e a cúpula da igreja da Candelária.",Anônimo,1910-01-01,1905-01-01,1915-01-01,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",GELATINA/ Prata,Baía de Guanabara,False,"14,1","8,3",-22.890441,-43.153183,13.68,-133.12,92.02,42.8,"POLYGON ((-43.15318348500004 -22.89044110200001, -43.15486627387408 -22.89368720042468, -43.15520354865071 -22.89351961625037, -43.15552136779021 -22.89332238375226, -43.15581667041072 -22.89309740251187, -43.15608661253177 -22.89284683935377, -43.15632859446539 -22.89257310747273, -43.15654028585247 -22.89227884318821, -43.15671964810313 -22.89196688055009, -43.15680975299205 -22.89177536720748, -43.15318348500004 -22.89044110200001))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AAN005150.jpg
001AAN005151,Entrada da Barra,"O Pão de Açúcar visto da entrada da Barra. À esquerda, a antiga Escola Militar, já reformada, juntamente com outros pavilhões da Exposição de 1908 na praia Vermelha.",Anônimo,1910-01-01,1908-01-01,1909-01-01,"i: 8,3 x 14,1 cm  sp: 9,5 x 14,5 cm  ss: 24,5 x 36 cm",GELATINA/ Prata,Baía de Guanabara,False,"14,1","8,3",-22.95533,-43.128525,5.94,-77.72,97.37,38.8,"POLYGON ((-43.12852523329806 -22.95533045597471, -43.13240140887018 -22.95577896246584, -43.13243048108899 -22.95542695845491, -43.13242194355666 -22.95507402552979, -43.13237587878722 -22.95472356262143, -43.13229273069437 -22.95437894484701, -43.13217330030535 -22.95404349100689, -43.13201873803639 -22.95372043162501, -43.13184840054349 -22.9534392434603, -43.12852523329806 -22.95533045597471))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AAN005151.jpg
001AE001001,Palácio Monroe,Vista do Palácio Monroe com morro da Glória ao fundo.,,,,,"i: 17,3 x 23,6 cm / sp: 20 x 30 cm / ss: 27,7 x 37,6 cm",FOTOGRAVURA/ Pigmento,Centro,False,"23,6","17,3",-22.9111,-43.175209,28.56,-168.34,90.31,35.0,"POLYGON ((-43.17520894078682 -22.91110016812866, -43.17481410931315 -22.9146790187645, -43.17519685322667 -22.91469743235355, -43.17557971355924 -22.91468120140452, -43.17595900286521 -22.91463048224269, -43.17633106810075 -22.91454576335965, -43.17669232581537 -22.91442786070732, -43.17703929667248 -22.91427790983755, -43.17710935982974 -22.91424282181658, -43.17520894078682 -22.91110016812866))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AE001001.jpg
001AE001002,Praia de Botafogo e Corcovado,Vista da praia de Botafogo com Pão de Açúcar e pedra da Gávea ao fundo.,,,,,"i: 17,3 x 25,8 cm / sp: 20,2 x 30 cm / ss: 27,9 x 37,7 cm",FOTOGRAVURA/ Pigmento,Botafogo,False,"25,8","17,3",-22.942173,-43.17563,58.06,-104.94,87.69,45.4,"POLYGON ((-43.17563033409676 -22.94217298002408, -43.18977051975894 -22.95220647071752, -43.19077035710574 -22.95088180886563, -43.19162435969992 -22.94947327773492, -43.19232430624412 -22.94799444464894, -43.19286346003949 -22.94645955364251, -43.19323663370319 -22.94488338820459, -43.19344023893495 -22.9432811288419, -43.19347232086027 -22.94166820683733, -43.19333257662797 -22.94006015561344, -43.19331822503062 -22.93996061258753, -43.17563033409676 -22.94217298002408))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AE001002.jpg
001AE001003,Vista geral da baía,Panorama da cidade do Rio com Pão de Açúcar ao fundo.,,,,,"i: 18,3 x 40,9 cm / sp: 22,4 x 43,2 cm / ss: 29,9 x 46,5 cm",FOTOGRAVURA/ Pigmento,,False,"40,9","18,3",-22.945007,-43.196355,356.48,85.13,86.19,86.4,"POLYGON ((-43.19635452359594 -22.9450074899591, -43.14587588010345 -22.89329023479243, -43.14061520952006 -22.89809552035671, -43.13589078325673 -22.90335253062894, -43.13174812034393 -22.90901068719626, -43.12822715767252 -22.91501554563162, -43.12536186382909 -22.92130931802964, -43.12317990967914 -22.92783142791485, -43.12170239895666 -22.93451909224036, -43.12094366156594 -22.94130792492591, -43.12091111171779 -22.94813255616484, -43.12160517241396 -22.95492726156618, -43.12301926716449 -22.96162659508873, -43.12513987917961 -22.9681660196734, -43.12794667762562 -22.97448252948749, -43.13141270988044 -22.9805152577614, -43.13550465807426 -22.98620606432371, -43.13706637146322 -22.98809370564982, -43.19635452359594 -22.9450074899591))",https://raw.githubusercontent.com/imaginerio/situated-views/master/images/1/001AE001003.jpg
