Source ID,SSID,Title,Creator,Description (English),Description (Portuguese),Date,First Year,Last Year,Type,Item Set,Source,Source URL,Materials,Fabrication Method,Rights,License,Attribution,Width (mm),Height (mm),Latitude,Longitude,Depicts,Wikidata ID,Smapshot ID,Media URL
001AAN005135,,"Palácio Amarelo, em primeiro plano o Chafariz da Águia.",Anônimo,,"Vista do Palácio Municipal, atual prefeitura de Petrópolis. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79138,Photographic print,Silver gelatin,,,,141.0,83.0,-22.50784,-43.17667,http://www.wikidata.org/entity/Q2946148 Centro,Q65620099,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005135.jpg
001AAN005136,,Jardim Botânico,Anônimo,,"Vegetação do Jardim Botânico. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79139,Photographic print,Silver gelatin,,,,141.0,83.0,-22.96883,-43.22167,,Q65620100,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005136.jpg
001AAN005137,,Jardim Botânico,Anônimo,,"Aléia de palmeiras no Jardim Botânico. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79140,Photographic print,Silver gelatin,,,,141.0,83.0,-22.96865,-43.22223,,Q65620101,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005137.jpg
001AAN005138,,Jardim Botânico,Anônimo,,"Aléia de palmeiras no Jardim Botânico. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79141,Photographic print,Silver gelatin,,,,141.0,83.0,-22.96907,-43.22216,,Q65621322,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005138.jpg
001AAN005139,,Jardim Botânico,Anônimo,,"Pequena edificação no interior do jardim Botânico. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79142,Photographic print,Silver gelatin,,,,141.0,83.0,-22.96582,-43.22656,,Q65621323,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005139.jpg
001AAN005140,,Jardim Botânico,Anônimo,,"Estátua no interior do Jardim Botânico. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79143,Photographic print,Silver gelatin,,,,141.0,83.0,-22.96675,-43.2232,,Q65621324,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005140.jpg
001AAN005141,,Vista do Pão de Açúcar,Anônimo,,"Pão de Açúcar visto de Santa Tereza. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1905,1915,Photograph,All||Views||Smapshot,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79144,Photographic print,Silver gelatin,,,,141.0,83.0,-22.93731,-43.20323,,Q65621654,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005141.jpg
001AAN005142,,Vista da lagoa Rodrigo de Freitas,Anônimo,,"Vista a partir da Vista Chinesa, no Alto da Tijuca, com a lagoa Rodrigo de Freitas ao centro, Corcovado à esquerda e, ao fundo, o Pão de Açúcar e a enseada de Botafogo. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1905,1915,Photograph,All||Views||Smapshot,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79145,Photographic print,Silver gelatin,,,,141.0,83.0,-22.97321,-43.24918,,Q65620106,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005142.jpg
001AAN005143,,Vista da lagoa Rodrigo de Freitas,Anônimo,,"Vista a partir da Vista Chinesa, no Alto da Tijuca, com a lagoa Rodrigo de Freitas ao centro, Corcovado à esquerda e, ao fundo, o Pão de Açúcar e a enseada de Botafogo. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1905,1915,Photograph,All||Views||Smapshot,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79171,Photographic print,Silver gelatin,,,,141.0,83.0,-22.96962,-43.25575,,Q65620107,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005143.jpg
001AAN005144,,Vista de rua comercial,Anônimo,,"Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79146,Photographic print,Silver gelatin,,,,141.0,83.0,-22.90389,-43.17858,http://www.wikidata.org/entity/Q2946148 Centro,Q65620108,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005144.jpg
001AAN005145,,"Vista da lagoa Rodrigo de Freitas, Ipanema e Leblon.",Anônimo,,"Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1905,1915,Photograph,All||Views||Smapshot,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79147,Photographic print,Silver gelatin,,,,141.0,83.0,-22.97368,-43.2501,,Q65620109,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005145.jpg
001AAN005146,,Vista da enseada de Botafogo e Pão de Açúcar a partir do Corcovado,Anônimo,,"Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1905,1915,Photograph,All||Views||Smapshot,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79148,Photographic print,Silver gelatin,,,,141.0,83.0,-22.95187,-43.21046,,Q65620110,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005146.jpg
001AAN005147,,Vista do Pão de Açúcar,Anônimo,,"O Pão de Açúcar visto da entrada da Baía de Guanabara. À esquerda, a antiga Escola Militar, já reformada, juntamente com outros pavilhões da Exposição de 1908 na praia Vermelha. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1905,1915,Photograph,All||Views||Smapshot,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79172,Photographic print,Silver gelatin,,,,141.0,83.0,-22.94884,-43.13669,http://www.wikidata.org/entity/Q224101 Baía de Guanabara,Q65620111,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005147.jpg
001AAN005148,,Entrada da Barra,Anônimo,,"A entrada da Barra vista da Baía de Guanabara com Corcovado ao fundo. À esquerda, o forte de Santa Cruz. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1905,1915,Photograph,All||Views||Smapshot,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79149,Photographic print,Silver gelatin,,,,141.0,83.0,-22.93104,-43.1397,http://www.wikidata.org/entity/Q224101 Baía de Guanabara,Q65620112,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005148.jpg
001AAN005149,,Vista do Pão de Açúcar,Anônimo,,"O Pão de Açúcar visto da entrada da Baía de Guanabara. À esquerda, a antiga Escola Militar, já reformada, juntamente com outros pavilhões da Exposição de 1908 na praia Vermelha. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1905,1915,Photograph,All||Views||Smapshot,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79173,Photographic print,Silver gelatin,,,,141.0,83.0,-22.95204,-43.1334,http://www.wikidata.org/entity/Q224101 Baía de Guanabara,Q65621326,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005149.jpg
001AAN005150,,Baía de Guanabara,Anônimo,,"Vista da cidade a partir da baía de Guanabara. À direita, Ilha Fiscal, as torres sineiras e a cúpula da igreja da Candelária. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1905,1915,Photograph,All||Views||Smapshot,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79150,Photographic print,Silver gelatin,,,,141.0,83.0,-22.89044,-43.15318,,Q65620114,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005150.jpg
001AAN005151,,Vista do Pão de Açúcar,Anônimo,,"O Pão de Açúcar visto da entrada da Baía de Guanabara. À esquerda, a antiga Escola Militar, já reformada, juntamente com outros pavilhões da Exposição de 1908 na praia Vermelha. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1908,1909,Photograph,All||Views||Smapshot,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79151,Photographic print,Silver gelatin,,,,141.0,83.0,-22.95533,-43.12853,http://www.wikidata.org/entity/Q224101 Baía de Guanabara,Q65621327,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005151.jpg
001AAN005152,,Vista marítima,Anônimo,,"Vista marítima, com cidade não identificada ao fundo. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,,Photographic print,Silver gelatin,,,,141.0,83.0,,,,,,
001AAN005174,,Coreto,Anônimo,,"Coreto ao centro de um parque. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1908,1909,Photograph,All||Views,Instituto Moreira Salles,,Photographic print,Silver gelatin,,,,141.0,83.0,,,,,,
001AAN005175,,Jardim em frente a grande edificação,Anônimo,,"Jardim em frente a uma grande edificação. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1908,1909,Photograph,All||Views,Instituto Moreira Salles,,Photographic print,Silver gelatin,,,,141.0,83.0,,,,,,
001AAN005176,,Jardim em frente a grande edificação,Anônimo,,"Jardim em frente a uma grande edificação. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1908,1909,Photograph,All||Views,Instituto Moreira Salles,,Photographic print,Silver gelatin,,,,141.0,83.0,,,,,,
001AAN005200,,Paisagem marítima,Anônimo,,"Paisagem marítima com morros e cidade não identificada. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1908,1909,Photograph,All||Views,Instituto Moreira Salles,,Photographic print,Silver gelatin,,,,141.0,83.0,,,,,,
001AAN014010,,Entrada da Baía de Guanabara,Marc Ferrez,,"Entrada externa da baía de Guanabara, vista de Niterói, tendo ao fundo a cadeia montanhosa da cidade.",1880 circa,1875,1885,Photograph,All||Views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/70881,Photographic print,Albumine,,,,218.0,150.0,-22.94134,-43.11565,,Q65620116,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN014010.jpg
001AAN014011,,Escola Militar,Marc Ferrez,,"A Escola Militar tem suas origens relacionadas à Escola Politécnica, antiga Escola Central, localizada no Largo de São Francisco de Paula no prédio erguido especialmente para abrigar uma escola de ensino superior. A Escola Politécnica estava ligada a Academia Real Militar, depois Escola Militar, transferida em 1812 da Casa do Trem para o Largo de São Francisco. Em 1851 passou pela primeira grande reforma, que a dividiu em duas: a Escola Militar propriamente dita e a de Aplicação, instalada provisoriamente na fortaleza de São João. Posteriormente, graças à intervenção do Ministro da Guerra Jerônimo Coelho, a Escola Militar passou a denominar-se Central, dedicada especialmente ao aperfeiçoamento científico dos seus alunos, e a de Aplicação, na Praia Vermelha, transformou-se em 1859 em Militar e de Aplicação. Em 1874, a totalidade do ensino militar passou para a escola da Praia Vermelha.",1880 circa,1875,1885,Photograph,All||Views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/88533,Photographic print,Albumine,,,,218.0,150.0,-22.95559,-43.16808,http://www.wikidata.org/entity/Q203325 Praia Vermelha,Q65620117,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN014011.jpg
001AAN014013,,Corcovado - Caminho do Aqueduto,Marc Ferrez,,"Ao que tudo indica, o caminho apresentado na imagem trata-se da estrada do Silvestre, assim batizada por causa de Silvestre Pires de Carvalho, dono de uma chácara em Santa Teresa adquirida em 1853 pelo governo para um novo reservatório a serviço da água que descia do Rio da Carioca para os chafarizes do Largo de mesmo nome. A chácara ficava no fim da rua do Aqueduto (atual Almirante Alexandrino), lugar da futura estação de trem do Corcovado. É provável que essa estrada seja um dos primeiros caminhos que levavam ao Corcovado.",1886 circa,1881,1891,Photograph,All||Views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/88534,Photographic print,Albumine,,,,218.0,150.0,,,,Q97772679,,
001AAN014015,,Vista tomada do Morro do Castelo,Marc Ferrez,,"Vista da praça Dom Pedro II, atual XV de Novembro, e do porto da cidade, a partir do Morro do Castelo.",1885 circa,1880,1890,Photograph,All||Views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/70886,Photographic print,Albumine,,,,218.0,150.0,-22.90654,-43.17501,,Q97772680,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN014015.jpg
001AAN014016,,Praça XV de Novembro,Marc Ferrez,,"A Praça D. Pedro II passou a ser assim chamada no Segundo Reinado. Apesar disso, a área era chamada pela população - até pelo menos o início do século XX -  Largo do Paço, por causa do palácio real, e depois imperial, mandado construir por Gomes Freire (futuro Conde de Bobadela) no século XVIII. Foi inicialmente destinado a ser sede do governo e casa dos governadores. Seus alicerces foram fincados em frente ao convento do Carmo, no lugar antes ocupado pela Casa da Moeda. A praça também já havia sido chamada Largo do Rócio e Terreiro da Polé (porque ali ficava o pelourinho, popularmente chamado polé). Em 1889, com a Proclamação da República, a praça passa definitivamente a chamar-se Praça XV de Novembro. A praça foi remodelada em 1894, ganhando um novo jardim com um monumento em homenagem à memória do General Osório, feita por Rodolfo Bernardelli.",1897,1897,1897,Photograph,All||Views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/88536,Photographic print,Albumine,,,,218.0,150.0,-22.90271,-43.17388,http://www.wikidata.org/entity/Q2946148 Centro,Q65620358,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN014016.jpg
001ACL017001,,"Cais Pharoux e adjacências, da Ilha das Cobras",Georges Leuzinger,,"Vista panorâmica do porto, visto da Ilha das Cobras.
Integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias do Rio de Janeiro, de Petrópolis, da Amazônia e 5 reproduções fotográficas de gravuras europeias. É possível que as fotografias da Amazônia, por Albert Frisch e as reproduções de gravuras não sejam parte do álbum original, tendo sido inseridas posteriormente.",1865 circa,1860,1870,Photograph,All||Views,Instituto Moreira Salles,,Photographic print,Albumine,,,,240.0,192.0,,,,,,
001ACL017002,,Largo do Paço visto do morro do Castelo,Georges Leuzinger,,"Integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias do Rio de Janeiro, de Petrópolis, da Amazônia e 5 reproduções fotográficas de gravuras europeias. É possível que as fotografias da Amazônia, por Albert Frisch e as reproduções de gravuras não sejam parte do álbum original, tendo sido inseridas posteriormente.",1865 circa,1865,1870,Photograph,All||Views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/79082,Photographic print,Albumine,,,,240.0,192.0,-22.90825,-43.17372,http://www.wikidata.org/entity/Q10353359 Praça XV de Novembro||http://www.wikidata.org/entity/Q64355145 Mercado Novo||http://www.wikidata.org/entity/Q5997836 Ilha das Cobras||http://www.wikidata.org/entity/Q64364849 Praia do Peixe||http://www.wikidata.org/entity/Q64578365 Igreja de São José||http://www.wikidata.org/entity/Q64363860 Alfândega do Rio de Janeiro||http://www.wikidata.org/entity/Q4902626 Convento do Carmo||http://www.wikidata.org/entity/Q63413731 Hotel de France||http://www.wikidata.org/entity/Q3361206 Paço Imperial||http://www.wikidata.org/entity/Q2820360 Mosteiro de São Bento||http://www.wikidata.org/entity/Q10300293 Igreja da Ordem Terceira do Carmo||http://www.wikidata.org/entity/Q56641197 Chafariz do Mestre Valentim||http://www.wikidata.org/entity/Q2942273 Igreja de Nossa Senhora do Monte do Carmo||http://www.wikidata.org/entity/Q9627844 Arco do Teles,Q64214710,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001ACL017002.jpg
001ACL017003,,O Palácio Imperial,Georges Leuzinger,,"Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",1870 circa,1865,1875,Photograph,All||Views,Instituto Moreira Salles,,Photographic print,Albumine,,,,240.0,192.0,,,,,,
001ACL017004,,"Praça D. Pedro II, atual Praça XV de novembro; ao centro, Chafariz do mestre Valentim; ao fundo, convento e igreja do Carmo, ligados por passadiço",Georges Leuzinger,,"Monumental chafariz de Mestre Valentim, uma das poucas peças coloniais que resistiu à força modernizadora do começo do século XX. Considerado obra prima no trabalho de cantaria, foi construído entre 1780 e 1789, e figurou por quase um século como principal chafariz da cidade. Ao fundo, aparecem a Capela Imperial e a Igreja do Carmo.
Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",1866 circa,1881,1871,Photograph,All||Views,Instituto Moreira Salles,,Photographic print,Albumine,,,,240.0,192.0,,,,,,
001ACL017005,,Catete e entrada da barra,Georges Leuzinger,,"Fotografia do Catete por volta de 1870, na qual contemplamos a entrada da barra. À direita parte do morro da Glória. No centro, impondo-se às demais construções, está o palacete do Barão de Friburgo. Construído em 1862, o palacete visou agradar a baronesa que tinha gosto pela vida urbana e gostava de ver a paisagem da cidade, fato que contrastava com a vida que o casal levava nas fazendas deste Barão do Café, em Friburgo. Proclamada a república, tornou-se alguns anos depois sede do governo.
Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",1870 circa,1865,1875,Photograph,All||Views,Instituto Moreira Salles,,Photographic print,Albumine,,,,240.0,192.0,,,,,,
001ACL017006,,"Largo de São Francisco, em destaque, a real Academia Militar",Georges Leuzinger,,"A Academia que vemos ao centro foi criada em 1810 a partir de parte da obra inacabada da Sé da cidade, que começou a ser levantada em 1750. O próprio prédio militar só ficou pronto entre 1820 e 1830. Destinado a abrigar instituições educacionais do país, nos anos subseqüentes o espaço foi usado pela Escola Militar (1842), Escola Politécnica (1874) e durante todo o século XX e XXI pelo IFCS-UFRJ (Instituto de Filosofia e Ciências Sociais da Universidade Federal do Rio de Janeiro. 
Integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias do Rio de Janeiro, de Petrópolis, da Amazônia e 5 reproduções fotográficas de gravuras europeias. É possível que as fotografias da Amazônia, por Albert Frisch e as reproduções de gravuras não sejam parte do álbum original, tendo sido inseridas posteriormente.",1865 circa,1860,1870,Photograph,All||Views,Instituto Moreira Salles,http://acervos.ims.com.br/portals/#/detailpage/76243,Photographic print,Albumine,,,,240.0,192.0,-22.90469,-43.18057,http://www.wikidata.org/entity/Q10316364 Largo de São Francisco de Paula,Q65620119,,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001ACL017006.jpg
001ACL017007,,Passeio Público,Georges Leuzinger,,"Passeio Público hoje um parque próximo aos Arcos da Lapa, mas até o final do século XVIII, era uma lagoa chamada de Boqueirão da Ajuda.
Integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias do Rio de Janeiro, de Petrópolis, da Amazônia e 5 reproduções fotográficas de gravuras europeias. É possível que as fotografias da Amazônia, por Albert Frisch e as reproduções de gravuras não sejam parte do álbum original, tendo sido inseridas posteriormente.",1865 circa,1865,1870,Photograph,All||Views,Instituto Moreira Salles,,Photographic print,Albumine,,,,240.0,192.0,,,,,,
