qid,P31,Lpt-br,Dpt-br,Den,P571,qal1319,qal1326,P17,P1259,qal2044,qal7787,qal8208,P170,P186,P195,P217,P2079,P4036,P2049,P2048,P7835
Q64214681,Q125191,Porto do Méier,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.88175/-43.12601,63.50194U11573,89.13078U28390,84.71682U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS006,Q107387614||Q35158,61.91U28390,236U174728,185U174728,82134
Q64214686,Q125191,Caminho de Boa Viagem,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.90656/-43.13068,49.30956U11573,22.73325U28390,88.03194U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS011,Q107387614||Q35158,40.8942U28390,240U174728,190U174728,82139
Q64214688,Q125191,Pedra de Itapuca,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.90541/-43.11971,10.50423U11573,-139.92628U28390,88.43076U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS013,Q107387614||Q35158,58.61U28390,240U174728,190U174728,82141
Q64214689,Q125191,Vale do Ingá,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.90272/-43.1219,41.71028U11573,-157.3188U28390,85.6674U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS014,Q107387614||Q35158,47.16U28390,238U174728,181U174728,82142
Q64214690,Q125191,Ingá e Praia Grande,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.90043/-43.12776,54.92483U11573,125.78054U28390,88.61124U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS015,Q107387614||Q35158,28.97U28390,238U174728,184U174728,82143
Q64214692,Q125191,Tomada do Morro do Livramento em direção ao Campo de Santana,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1865-01-01T00:00:00Z/8,1860-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.90046/-43.19501,97.20788U11573,138.04275U28390,86.19325U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS017,Q107387614||Q35158,35.48U28390,239U174728,187U174728,88666
Q64214693,Q125191,"Centro do Rio de Janeiro, Gamboa, Baía de Guanabara e Niterói; a partir do Morro da Providência",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.89997/-43.19578,129.474U11573,86.60148U28390,86.30599U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS018,Q107387614||Q35158,29.68U28390,237U174728,182U174728,82146
Q64214694,Q125191,Campo de Santana e arredores; a partir do Morro da Previdência,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.90014/-43.19607,137.57724U11573,111.10538U28390,85.15858U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS019,Q107387614||Q35158,32.74U28390,239U174728,185U174728,88667
Q64214695,Q125191,Vista da Prainha e Saúde; a partir do Morro do Livramento,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.89917/-43.19454,87.40795U11573,40.99137U28390,86.87105U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS020,Q107387614||Q35158,40.99U28390,239U174728,187U174728,82148
Q64214696,Q125191,Aterrado e Engenho Velho,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.90127/-43.19626,94.79217U11573,-139.9937U28390,85.11238U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS021,Q107387614||Q35158,56.6476U28390,238U174728,184U174728,88668
Q64214697,Q125191,"Aterrado, Fábrica de Gás e Corcovado ao fundo",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.90072/-43.1964,123.97185U11573,-153.59067U28390,87.49742U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS022,Q107387614||Q35158,43.0U28390,240U174728,188U174728,88669
Q64214698,Q125191,Saco do Alferes e São Cristóvão,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.90021/-43.19665,113.28374U11573,-92.80114U28390,85.44819U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS023,Q107387614||Q35158,57.77U28390,239U174728,185U174728,88670
Q64214700,Q125191,Saco do Alferes e Ponta do Caju,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.90082/-43.19661,123.20688U11573,-65.85347U28390,81.22526U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS025,Q107387614||Q35158,57.83U28390,239U174728,188U174728,88672
Q64214702,Q125191,"Prainha, vista da Saúde",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.89438/-43.19318,40.7492U11573,96.57155U28390,85.5084U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS028,Q107387614||Q35158,56.59U28390,237U174728,188U174728,82156
Q64214704,Q125191,"Palácio Imperial de São Cristóvão, atual Museu Nacional",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1865-01-01T00:00:00Z/8,1860-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.90407/-43.22461,22.78962U11573,-142.78339U28390,89.11695U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS029,Q107387614||Q35158,56.72U28390,230U174728,189U174728,82157
Q64214706,Q125191,Convento da Ajuda,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1863-01-01T00:00:00Z/9,1869-01-01T00:00:00Z/9,Q155,@-22.90752/-43.17407,55.15037U11573,-154.78107U28390,89.6257U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS031,Q107387614||Q35158,38.55U28390,237U174728,184U174728,88675
Q64214707,Q125191,Santa Luzia e Praia da Glória,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.90726/-43.17546,111.49504U11573,-176.62749U28390,88.20175U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS032,Q107387614||Q35158,40.0254U28390,238U174728,185U174728,82160
Q64214708,Q125191,"Entrada da baía de Guanabara, com morro do Pão de Açúcar ao fundo",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.90821/-43.17344,96.45894U11573,141.55838U28390,83.81628U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS033,Q107387614||Q35158,54.097U28390,230U174728,185U174728,82161
Q64214709,Q125191,Chácara da Floresta e Glória; a partir do Morro do Castelo,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.90834/-43.17575,92.13778U11573,-178.71641U28390,82.83611U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS034,Q107387614||Q35158,58.6746U28390,237U174728,182U174728,82162
Q64214710,Q125191,Largo do Paço visto do morro do Castelo,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1865-01-01T00:00:00Z/8,1865-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.90825/-43.17372,74.97374U11573,0.15448U28390,87.01114U28390,Q5877879,Q56055236||Q35158,Q71989864,001ACL017002,Q107387614||Q35158,49.9982U28390,240U174728,192U174728,79082
Q64214711,Q125191,Convento de Santo Antônio; a partir do Morro do Castelo,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1865-01-01T00:00:00Z/8,1860-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.90615/-43.17555,54.57034U11573,-104.4641U28390,89.1098U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS036,Q107387614||Q35158,32.733U28390,238U174728,185U174728,82164
Q64214712,Q125191,Outeiro da Glória; a partir de Santa Teresa,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1864-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.91855/-43.17899,74.30294U11573,135.25077U28390,84.18824U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS037,Q107387614||Q35158,55.4588U28390,237U174728,184U174728,88676
Q64214714,Q125191,"Vista das Ruas D. Luiza (atual Cândido Mendes), D. Christina e Santa Teresa",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.91859/-43.17883,77.99157U11573,-120.88042U28390,87.77876U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS039,Q107387614||Q35158,43.435U28390,237U174728,185U174728,82167
Q64214715,Q125191,Ruas D. Luiza (atual Cândido Mendes) e Santo Amaro; a partir de Santa Teresa,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.91823/-43.17922,79.99255U11573,-172.82075U28390,85.63862U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS040,Q107387614||Q35158,44.4246U28390,237U174728,185U174728,82168
Q64214716,Q125191,"Cais da Glória, Lapa, Passeio Público e Santa Luzia",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.92129/-43.17525,42.53117U11573,-4.87826U28390,88.05027U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS041,Q107387614||Q35158,50.1052U28390,237U174728,185U174728,88677
Q64214717,Q125191,"Largo da Glória, Santo Amaro e Santa Tereza",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.92151/-43.17534,60.33588U11573,-82.44288U28390,88.07498U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS043,Q107387614||Q35158,55.1252U28390,237U174728,185U174728,88679
Q64214718,Q125191,Bairro do Catete e morro do Corcovado; a partir da Glória,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.92148/-43.17543,51.39817U11573,-143.45759U28390,85.0129U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS044,Q107387614||Q35158,55.6974U28390,237U174728,185U174728,88680
Q64214719,Q125191,Praia do Flamengo; a partir da Glória,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.92399/-43.17432,68.25005U11573,171.79861U28390,81.93222U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS045,Q107387614||Q35158,56.6856U28390,237U174728,185U174728,88681
Q64214720,Q125191,"Catete, Laranjeiras e Botafogo",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.92403/-43.17451,64.29609U11573,-142.61673U28390,86.88775U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS046,Q107387614||Q35158,57.005U28390,237U174728,185U174728,88682
Q64214721,Q125191,Catete e Morro da Pedreira; a partir da Glória,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.92396/-43.17463,67.59904U11573,-100.24185U28390,84.63672U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS047,Q107387614||Q35158,56.0384U28390,237U174728,185U174728,82175
Q64214722,Q125191,"Catete, Flamengo e entrada da barra",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.92357/-43.1795,72.28579U11573,115.79356U28390,84.38493U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS048,Q107387614||Q35158,59.96U28390,234U174728,188U174728,82176
Q64214723,Q125191,Rua da Pedreira (atual Bento Lisboa) e Largo do Machado,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.92381/-43.17954,63.44079U11573,171.92523U28390,83.74177U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS049,Q107387614||Q35158,56.9648U28390,239U174728,190U174728,82177
Q64214724,Q125191,"Laranjeiras, Cosme Velho e o Morro do Corcovado; a partir do Morro da Pedreira",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.9288/-43.18438,140.29213U11573,-146.62728U28390,88.72556U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS050,Q107387614||Q35158,56.9048U28390,237U174728,185U174728,82178
Q64214725,Q125191,"Laranjeiras, rua da Guanabara (atual Pinheiro Machado) e Botafogo",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.92867/-43.18485,157.45581U11573,170.77547U28390,86.56351U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS051,Q107387614||Q35158,58.7548U28390,237U174728,185U174728,82179
Q64214726,Q125191,Rua Carvalho de Sá,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.93175/-43.1827,32.17127U11573,73.06366U28390,87.80382U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS052,Q107387614||Q35158,37.366U28390,225U174728,175U174728,82180
Q64214727,Q125191,Botafogo e Rua Marquês de Abrantes,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.94162/-43.17504,63.33944U11573,-89.59981U28390,89.54075U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS053,Q107387614||Q35158,40.1964U28390,237U174728,185U174728,88683
Q64214728,Q125191,"Praia de Botafogo, ao fundo o Morro do Corcovado, Pão de Açúcar e a Pedra da Gávea",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.94113/-43.17522,54.64071U11573,-126.21U28390,89.66908U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS054,Q107387614||Q35158,40.5384U28390,237U174728,185U174728,88684
Q64214729,Q125191,Rua de Olinda (atual Marquês de Olinda) e Pão de Açúcar,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.94313/-43.18721,55.74224U11573,100.5304U28390,85.49378U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS055,Q107387614||Q35158,46.4794U28390,240U174728,184U174728,82183
Q64214730,Q125191,Vista do bairro de Botafogo,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.94313/-43.18727,53.81838U11573,152.75351U28390,86.45141U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS056,Q107387614||Q35158,54.2552U28390,230U174728,189U174728,82184
Q64214733,Q125191,"Senador Vergueiro, Catete e Praia do Flamengo; a partir do Morro da Viúva",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.94081/-43.17447,65.68982U11573,-9.68465U28390,84.90795U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS059,Q107387614||Q35158,43.6856U28390,240U174728,186U174728,88685
Q64214738,Q125191,"Hospício Nacional de Alienados, também Hospício D. Pedro II, atual UFRJ",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.9524/-43.17328,12.78635U11573,-81.18395U28390,93.6967U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS064,Q107387614||Q35158,67.11U28390,235U174728,189U174728,82192
Q64214739,Q125191,"Hospício Nacional de Alienados, também Hospício D. Pedro II, atual UFRJ",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.95275/-43.17252,12.52998U11573,-73.82531U28390,92.47565U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS065,Q107387614||Q35158,45.11U28390,239U174728,190U174728,82193
Q64214741,Q125191,"Hospício Nacional de Alienados, também Hospício D. Pedro II, atual UFRJ",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.95587/-43.17751,30.56888U11573,51.50148U28390,90.68868U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS067,Q107387614||Q35158,48.77U28390,239U174728,190U174728,82195
Q64214742,Q125191,"Morro da Babilônia, Urca e Pão de Açúcar",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.95587/-43.17751,21.16049U11573,79.392U28390,90.41015U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS068,Q107387614||Q35158,49.01U28390,240U174728,190U174728,88687
Q64214743,Q125191,Largo dos Leões e o Corcovado ao fundo,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.95296/-43.19411,50.33464U11573,-89.01251U28390,92.90823U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS069,Q107387614||Q35158,35.0U28390,240U174728,185U174728,88688
Q64214746,Q125191,"Lagoa Rodrigo de Freitas, ao fundo, morro Dois Irmãos e a pedra da Gávea",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.95869/-43.20357,73.0586U11573,-117.81343U28390,91.38187U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS072,Q107387614||Q35158,58.44U28390,239U174728,190U174728,88690
Q64214747,Q125191,"Rua Jardim Botânico, Pedra da Gávea e Lagoa Rodrigo de Freitas",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.96274/-43.20233,27.20194U11573,-102.30492U28390,93.00912U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS073,Q107387614||Q35158,57.75U28390,237U174728,185U174728,88691
Q64214751,Q125191,"Casa de campo, na atual Fonte da Saudade",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.96368/-43.20244,25.80047U11573,85.16649U28390,102.75704U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS079,Q107387614||Q35158,30.3506U28390,226U174728,185U174728,82207
Q64214753,Q125191,Vista da Lagoa Rodrigo de Freitas,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.96415/-43.2036,22.59695U11573,-156.17774U28390,93.49452U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS080,Q107387614||Q35158,41.47U28390,237U174728,188U174728,82208
Q64214754,Q125191,"Entrada da Baía de Guanabara, da Ilha de Villegagnon",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.91428/-43.16003,14.32577U11573,147.08937U28390,83.14526U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS083,Q107387614||Q35158,57.7U28390,238U174728,186U174728,82211
Q64214756,Q125191,"Fortaleza de Villegagnon, Pão de Açúcar e a Praia Vermelha ao fundo",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.91415/-43.16011,12.67083U11573,-174.31779U28390,87.49142U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS084,Q107387614||Q35158,57.73U28390,239U174728,186U174728,82212
Q64214757,Q125191,"Praia do Flamengo, Rua do Russel e Glória, a partir da Ilha de Villegagnon",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.91352/-43.15986,20.11965U11573,-132.9016U28390,82.56204U28390,Q5877879,Q56055236||Q35158,Q71989864,014GLAS085,Q107387614||Q35158,56.68U28390,237U174728,185U174728,82213
