dcterms:identifier,dcterms:title,dcterms:description,dcterms:creator,dcterms:date,dcterms:available,dcterms:type:en,dcterms:type:pt,dcterms:medium:pt,dcterms:medium:en,dcterms:format:pt,dcterms:format:en,dcterms:rights,dcterms:bibliographicCitation,dcterms:source,dcterms:hasVersion,latitude,longitude,foaf:depicts,schema:width,schema:height,media,item_sets
001AAN005136,Jardim Botânico,"Vegetação do Jardim Botânico. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79139 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620100 Wikidata,-22.96883,-43.22167,,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005136.jpg,All||Views
001AAN005137,Jardim Botânico,"Aléia de palmeiras no Jardim Botânico. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79140 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620101 Wikidata,-22.96865,-43.22223,,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005137.jpg,All||Views
001AAN005138,Jardim Botânico,"Aléia de palmeiras no Jardim Botânico. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79141 Instituto Moreira Salles,www.wikidata.org/wiki/Q65621322 Wikidata,-22.96907,-43.22216,,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005138.jpg,All||Views
001AAN005139,Jardim Botânico,"Pequena edificação no interior do jardim Botânico. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79142 Instituto Moreira Salles,www.wikidata.org/wiki/Q65621323 Wikidata,-22.96582,-43.22656,,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005139.jpg,All||Views
001AAN005140,Jardim Botânico,"Estátua no interior do Jardim Botânico. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79143 Instituto Moreira Salles,www.wikidata.org/wiki/Q65621324 Wikidata,-22.96675,-43.2232,,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005140.jpg,All||Views
001AAN005141,Vista do Pão de Açúcar,"Pão de Açúcar visto de Santa Tereza. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79144 Instituto Moreira Salles,www.wikidata.org/wiki/Q65621654 Wikidata,-22.93731,-43.20323,,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005141.jpg,All||Views||Smapshot
001AAN005142,Vista da lagoa Rodrigo de Freitas,"Vista a partir da Vista Chinesa, no Alto da Tijuca, com a lagoa Rodrigo de Freitas ao centro, Corcovado à esquerda e, ao fundo, o Pão de Açúcar e a enseada de Botafogo. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79145 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620106 Wikidata,-22.97321,-43.24918,,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005142.jpg,All||Views||Smapshot
001AAN005143,Vista da lagoa Rodrigo de Freitas,"Vista a partir da Vista Chinesa, no Alto da Tijuca, com a lagoa Rodrigo de Freitas ao centro, Corcovado à esquerda e, ao fundo, o Pão de Açúcar e a enseada de Botafogo. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79171 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620107 Wikidata,-22.96962,-43.25575,,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005143.jpg,All||Views||Smapshot
001AAN005144,Vista de rua comercial,"Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79146 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620108 Wikidata,-22.90389,-43.17858,http://www.wikidata.org/entity/Q2946148 Centro,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005144.jpg,All||Views
001AAN005145,"Vista da lagoa Rodrigo de Freitas, Ipanema e Leblon.","Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79147 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620109 Wikidata,-22.97368,-43.2501,,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005145.jpg,All||Views||Smapshot
001AAN005146,Vista da enseada de Botafogo e Pão de Açúcar a partir do Corcovado,"Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79148 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620110 Wikidata,-22.95187,-43.21046,,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005146.jpg,All||Views||Smapshot
001AAN005147,Vista do Pão de Açúcar,"O Pão de Açúcar visto da entrada da Baía de Guanabara. À esquerda, a antiga Escola Militar, já reformada, juntamente com outros pavilhões da Exposição de 1908 na praia Vermelha. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79172 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620111 Wikidata,-22.94884,-43.13669,http://www.wikidata.org/entity/Q224101 Baía de Guanabara,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005147.jpg,All||Views||Smapshot
001AAN005148,Entrada da Barra,"A entrada da Barra vista da Baía de Guanabara com Corcovado ao fundo. À esquerda, o forte de Santa Cruz. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79149 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620112 Wikidata,-22.93104,-43.1397,http://www.wikidata.org/entity/Q224101 Baía de Guanabara,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005148.jpg,All||Views||Smapshot
001AAN005149,Vista do Pão de Açúcar,"O Pão de Açúcar visto da entrada da Baía de Guanabara. À esquerda, a antiga Escola Militar, já reformada, juntamente com outros pavilhões da Exposição de 1908 na praia Vermelha. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79173 Instituto Moreira Salles,www.wikidata.org/wiki/Q65621326 Wikidata,-22.95204,-43.1334,http://www.wikidata.org/entity/Q224101 Baía de Guanabara,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005149.jpg,All||Views||Smapshot
001AAN005150,Baía de Guanabara,"Vista da cidade a partir da baía de Guanabara. À direita, Ilha Fiscal, as torres sineiras e a cúpula da igreja da Candelária. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79150 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620114 Wikidata,-22.89044,-43.15318,,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005150.jpg,All||Views||Smapshot
001AAN005151,Vista do Pão de Açúcar,"O Pão de Açúcar visto da entrada da Baía de Guanabara. À esquerda, a antiga Escola Militar, já reformada, juntamente com outros pavilhões da Exposição de 1908 na praia Vermelha. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1908/1909,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79151 Instituto Moreira Salles,www.wikidata.org/wiki/Q65621327 Wikidata,-22.95533,-43.12853,http://www.wikidata.org/entity/Q224101 Baía de Guanabara,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005151.jpg,All||Views||Smapshot
001AAN014010,Entrada da Baía de Guanabara,"Entrada externa da baía de Guanabara, vista de Niterói, tendo ao fundo a cadeia montanhosa da cidade.",Marc Ferrez,1880 circa,1875/1885,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q107387614 Albumina,http://wikidata.org/wiki/Q107387614 Albumine,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/70881 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620116 Wikidata,-22.94134,-43.11565,,218,150,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN014010.jpg,All||Views
001AAN014011,Escola Militar,"A Escola Militar tem suas origens relacionadas à Escola Politécnica, antiga Escola Central, localizada no Largo de São Francisco de Paula no prédio erguido especialmente para abrigar uma escola de ensino superior. A Escola Politécnica estava ligada a Academia Real Militar, depois Escola Militar, transferida em 1812 da Casa do Trem para o Largo de São Francisco. Em 1851 passou pela primeira grande reforma, que a dividiu em duas: a Escola Militar propriamente dita e a de Aplicação, instalada provisoriamente na fortaleza de São João. Posteriormente, graças à intervenção do Ministro da Guerra Jerônimo Coelho, a Escola Militar passou a denominar-se Central, dedicada especialmente ao aperfeiçoamento científico dos seus alunos, e a de Aplicação, na Praia Vermelha, transformou-se em 1859 em Militar e de Aplicação. Em 1874, a totalidade do ensino militar passou para a escola da Praia Vermelha.",Marc Ferrez,1880 circa,1875/1885,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q107387614 Albumina,http://wikidata.org/wiki/Q107387614 Albumine,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/88533 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620117 Wikidata,-22.95559,-43.16808,http://www.wikidata.org/entity/Q203325 Praia Vermelha,218,150,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN014011.jpg,All||Views
001AAN014015,Vista tomada do Morro do Castelo,"Vista da praça Dom Pedro II, atual XV de Novembro, e do porto da cidade, a partir do Morro do Castelo.",Marc Ferrez,1885 circa,1880/1890,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q107387614 Albumina,http://wikidata.org/wiki/Q107387614 Albumine,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/70886 Instituto Moreira Salles,www.wikidata.org/wiki/Q97772680 Wikidata,-22.90654,-43.17501,,218,150,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN014015.jpg,All||Views
