qid,P31,Lpt-br,Dpt-br,P571,P17,P1259,P170,P186,P195,P217,P2079,P4036,P2049,P2048,P7835
,,Palácio Monroe,,,Q155,-22.9111/-43.175209,,Q11472,Q71989864,001AE001001,FOTOGRAVURA/ Pigmento,35.0 degree,23.6 centimetre,17.3 centimetre,79128
,,Praia de Botafogo e Corcovado,,,Q155,-22.942173/-43.17563,,Q11472,Q71989864,001AE001002,FOTOGRAVURA/ Pigmento,45.4 degree,25.8 centimetre,17.3 centimetre,79127
,,Vista da baía de Guanabara,,,Q155,-22.945007/-43.196355,,Q11472,Q71989864,001AE001003,FOTOGRAVURA/ Pigmento,86.4 degree,40.9 centimetre,18.3 centimetre,79126
,,Copacabana,Fotografia de José dos Santos Affonso,,Q155,-22.963213/-43.18311,Q63993961,Q11472,Q71989864,001AF001001,Q172984,51.4 degree,12.8 centimetre,7.9 centimetre,79090
,,Palácio Monroe,Fotografia de José dos Santos Affonso,,Q155,-22.911183/-43.175168,Q63993961,Q11472,Q71989864,001ALA011001,Q172984,50.0 degree,21.6 centimetre,15.8 centimetre,75589
,,Teatro Municipal,Fotografia de José dos Santos Affonso,,Q155,-22.910016/-43.175332,Q63993961,Q11472,Q71989864,001ALA011002,Q172984,50.0 degree,22.0 centimetre,15.8 centimetre,75590
,,Avenida Rio Branco,Fotografia de José dos Santos Affonso,,Q155,-22.904322/-43.178093,Q63993961,Q11472,Q71989864,001ALA011003,Q172984,50.0 degree,15.9 centimetre,21.9 centimetre,75591
,,Avenida Niemeyer,,,Q155,-23.000056/-43.241663,,Q11472,Q71989864,001ALA011004,Q172984,50.0 degree,21.9 centimetre,15.9 centimetre,75592
,,Pão de Açúcar visto da Urca,,,Q155,-22.950948/-43.164241,,Q11472,Q71989864,001ALA011005,Q172984,50.0 degree,21.6 centimetre,15.7 centimetre,75593
,,Vista tirada do Pão de Açúcar,,,Q155,-22.950741/-43.158302,,Q11472,Q71989864,001ALA011006,Q172984,50.0 degree,21.9 centimetre,16.0 centimetre,75594
,,Pão de Açúcar,,,Q155,-22.949427/-43.156805,,Q11472,Q71989864,001ALA011007,Q172984,50.0 degree,15.9 centimetre,21.9 centimetre,75595
,,Crepúsculo na Avenida Niemeyer,,,Q155,-23.000157/-43.24188400000001,,Q11472,Q71989864,001ALA011009,Q172984,50.8 degree,21.9 centimetre,16.0 centimetre,75596
,,Copacabana e Avenida Delfim Moreira,,,Q155,-22.944934/-43.196427,,Q11472,Q71989864,001ALA011011,Q172984,50.0 degree,22.0 centimetre,16.0 centimetre,75631
,,Praia de Botafogo,,,Q155,-22.945356/-43.193435,,Q11472,Q71989864,001ALA011012,Q172984,50.0 degree,21.8 centimetre,16.1 centimetre,75598
,,"Praia da Saudade, vista tomada da Urca",,,Q155,-22.951625/-43.165278,,Q11472,Q71989864,001ALA011013,Q172984,51.8 degree,21.9 centimetre,15.9 centimetre,75632
,,Botafogo visto do Pão de Açúcar,,,Q155,-22.949487/-43.156698,,Q11472,Q71989864,001ALA011014,Q172984,50.0 degree,21.9 centimetre,16.0 centimetre,75599
,,Copacabana e Leme,,,Q155,-22.979945/-43.189606,,Q11472,Q71989864,001ALA011015,Q172984,50.0 degree,21.9 centimetre,16.0 centimetre,75600
,,Praia de Botafogo,,,Q155,-22.942685/-43.175359,,Q11472,Q71989864,001ALA011016,Q172984,50.0 degree,21.7 centimetre,15.7 centimetre,75601
,,"Hotel Central, na Praia do Flamengo",,,Q155,-22.933824/-43.17441,,Q11472,Q71989864,001ALA011017,Q172984,51.0 degree,21.9 centimetre,16.0 centimetre,75602
,,Avenida Rio Branco,,,Q155,-22.912043/-43.175603,,Q11472,Q71989864,001ALA011018,Q172984,50.0 degree,21.9 centimetre,16.0 centimetre,75633
,,Avenida Central,,,Q155,-22.908461/-43.176557,,Q11472,Q71989864,001ALA011019,Q172984,50.0 degree,21.9 centimetre,16.0 centimetre,75603
,,Avenida Rio Branco,,,Q155,-22.909752/-43.175889,,Q11472,Q71989864,001ALA011020,Q172984,50.0 degree,21.9 centimetre,16.0 centimetre,75604
,,Palácio Guanabara,Fotografia de Augusto Malta,1913-08-20,Q155,-22.9372/-43.183754,Q16495239,Q11472,Q71989864,001AM001001,Q172984,60.2 degree,23 centimetre,17 centimetre,19343
,,Vista da aléia das palmeiras a partir do Palácio Guanabara,Fotografia de Augusto Malta,,Q155,-22.937568/-43.183935,Q16495239,Q11472,Q71989864,001AM002001,Q580807,60.6 degree,16.4 centimetre,22.2 centimetre,19347
,,Terraço do Palácio da Guanabara,Fotografia de Augusto Malta,,Q155,-22.937599/-43.183882,Q16495239,Q11472,Q71989864,001AM002002,Q580807,60.0 degree,16.4 centimetre,22.3 centimetre,19348
,,Escola Estácio de Sá,Fotografia de Augusto Malta,,Q155,-22.914192/-43.207621,Q16495239,Q11472,Q71989864,001AM003,Q172984,40.2 degree,22.8 centimetre,17 centimetre,77544
,,Igreja Positivista do Brasil,Fotografia de Augusto Malta,,Q155,-22.920882/-43.17923,Q16495239,Q11472,Q71989864,001AM004,Q172984,50.0 degree,22.8 centimetre,17.1 centimetre,77545
,,Inauguração da Estátua da Amizade em frente a Igreja de Santa Luzia,Fotografia de Augusto Malta,1931-07-04,Q155,-22.910567/-43.171647,Q16495239,Q11472,Q71989864,001AM005001,Q580807,50.0 degree,23.3 centimetre,17 centimetre,19349
,,Inauguração da Estátua da Amizade em frente a Igreja de Santa Luzia,Fotografia de Augusto Malta,1931-07-04,Q155,-22.909963/-43.171729,Q16495239,Q11472,Q71989864,001AM005002,Q172984,50.0 degree,23.4 centimetre,16.9 centimetre,19350
,,Quinta da Boa Vista,Fotografia de Augusto Malta,,Q155,-22.907058/-43.224919,Q16495239,Q11472,Q71989864,001AM006,Q172984,50.0 degree,23 centimetre,17 centimetre,77546
,,"Jockey Club, com a Pedra da Gávea ao fundo",Fotografia de Augusto Malta,,Q155,-22.974214/-43.224752,Q16495239,Q11472,Q71989864,001AM008,Q172984,50.0 degree,22.8 centimetre,17.5 centimetre,77547
,,Praça Marechal Floriano,Fotografia de Augusto Malta,,Q155,-22.910332/-43.176308,Q16495239,Q11472,Q71989864,001AM010,Q172984,50.0 degree,22.7 centimetre,16.8 centimetre,77548
,,Praça Tiradentes,Fotografia de Augusto Malta,1924-01-01,Q155,-22.907503/-43.183452,Q16495239,Q11472,Q71989864,001AM011,Q172984,50.0 degree,22.9 centimetre,17.5 centimetre,77549
,,Bonde em frente a Igreja do Santíssimo Sacramento da Antiga Sé,Fotografia de Augusto Malta,1924-05-28,Q155,-22.904001/-43.183516,Q16495239,Q11472,Q71989864,001AM013,Q172984,60.2 degree,22.9 centimetre,17.4 centimetre,77552
,,Exposição de 1908,Fotografia de Augusto Malta,1908-01-01,Q155,-22.954049/-43.171481,Q16495239,Q11472,Q71989864,001AM014001,Q172984,50.0 degree,28.3 centimetre,22.2 centimetre,79153
,,Vista da Exposição de 1908,Fotografia de Augusto Malta,1908-05-10,Q155,-22.951691/-43.178206,Q16495239,Q11472,Q71989864,001AM014002,Q172984,49.2 degree,28.3 centimetre,22.3 centimetre,79154
,,Vista do Outeiro e do mercado da Glória,Fotografia de Marc Ferrez,,Q155,-22.918495/-43.17781,Q3180571,Q11472,Q71989864,001AMF016001,Q580807,38.4 degree,19.4 centimetre,15.0 centimetre,70929
,,Vista do bairro do Catete e do Pão de Açucar tomada de Santa Teresa,Fotografia de Marc Ferrez,,Q155,-22.919958/-43.180424,Q3180571,Q11472,Q71989864,001AMF016002,Q580807,40.4 degree,20.1 centimetre,14.7 centimetre,79092
,,Porto do Rio de Janeiro,Fotografia de Marc Ferrez,,Q155,-22.89551/-43.183587,Q3180571,Q11472,Q71989864,001AMF016005,Q580807,39.8 degree,20.1 centimetre,14.7 centimetre,70931
,,Docas D. Pedro II e embarcações,Fotografia de Marc Ferrez,,Q155,-22.895841/-43.18612,Q3180571,Q11472,Q71989864,001AMF016006,Q580807,40.2 degree,20.0 centimetre,14.8 centimetre,70932
,,Porto e Mosteiro de São Bento,Fotografia de Marc Ferrez,,Q155,-22.89554/-43.180214,Q3180571,Q11472,Q71989864,001AMF016008,Q580807,46.8 degree,20.2 centimetre,14.5 centimetre,70934
,,O Porto e o Mosteiro de São Bento,Fotografia de Marc Ferrez,,Q155,-22.897786/-43.176155,Q3180571,Q11472,Q71989864,001AMF016016,Q580807,60.0 degree,20.0 centimetre,15.0 centimetre,70942
,,Vista de Laranjeiras,Fotografia de Marc Ferrez,,Q155,-22.938039/-43.18745300000001,Q3180571,Q11472,Q71989864,001AMF016025,Q580807,45.6 degree,20.4 centimetre,15.1 centimetre,70951
,,Comemoração em cais,Fotografia de Marc Ferrez,,Q155,-22.898776/-43.17652,Q3180571,Q11472,Q71989864,001AMF016042,Q580807,50.0 degree,20.2 centimetre,15.2 centimetre,70968
,,"Vista da Praia de Botafogo, tomada do Morro da Viúva",Fotografia de Anônimo,,Q155,-22.942585/-43.176129,Q4233718,Q11472,Q71989864,001AN01001001,Q172984,50.0 degree,10.5 centimetre,7.8 centimetre,79093
,,Vista da praia de Botafogo,Fotografia de Anônimo,1907-01-01,Q155,-22.941868/-43.175128,Q4233718,Q11472,Q71989864,001AN01001002,Q172984,38.2 degree,10.5 centimetre,7.8 centimetre,79152
,,"Vista da Praia de Botafogo, com o Morro do Corcovado à direita",Fotografia de Anônimo,,Q155,-22.942577/-43.175772,Q4233718,Q11472,Q71989864,001AN01001003,Q172984,39.4 degree,10.5 centimetre,8.0 centimetre,79094
,,Vista para a Baía de Guanabara,Fotografia de Anônimo,,Q155,-22.942098/-43.175505,Q4233718,Q11472,Q71989864,001AN01001004,Q172984,60.0 degree,10.5 centimetre,8.0 centimetre,79095
,,"Vista do Pico do Corcovado, ainda com o mirante Chapéu de Sol",Fotografia de Anônimo,,Q155,-22.952237/-43.226134,Q4233718,Q11472,Q71989864,001AN01001006,Q172984,36.8 degree,10.1 centimetre,7.4 centimetre,79096
,,"Praia de Copacabana, com vista do Pão de Açúcar",Fotografia de Anônimo,,Q155,-22.984602/-43.189941,Q4233718,Q11472,Q71989864,001AN01001007,Q172984,35.6 degree,10.5 centimetre,8.0 centimetre,80340
,,Mulher e criança em Copacabana,Fotografia de Anônimo,1907-06-01,Q155,-22.974209/-43.186098,Q4233718,Q11472,Q71989864,001AN01001009,Q172984,27.6 degree,10.5 centimetre,8.0 centimetre,80342
,,Praia de Copacabana,Fotografia de Anônimo,,Q155,-22.985874/-43.188397,Q4233718,Q11472,Q71989864,001AN01001010,Q172984,40.0 degree,10.5 centimetre,8.0 centimetre,80343
,,"Praia de Ipanema, com Morro Dois Irmãos",Fotografia de Anônimo,,Q155,-22.990921/-43.191363,Q4233718,Q11472,Q71989864,001AN01001011,Q172984,36.4 degree,10.5 centimetre,8.0 centimetre,80344
,,Campo de Santana,Fotografia de Anônimo,,Q155,-22.907269/-43.187821,Q4233718,Q11472,Q71989864,001AN01001018,Q172984,50.0 degree,10.5 centimetre,8.0 centimetre,80345
,,Campo de Santana,Fotografia de Anônimo,,Q155,-22.907649/-43.188592,Q4233718,Q11472,Q71989864,001AN01001019,Q172984,50.0 degree,10.5 centimetre,8.0 centimetre,80346
,,Campo de Santana,Fotografia de Anônimo,,Q155,-22.907167/-43.187645,Q4233718,Q11472,Q71989864,001AN01001020,Q172984,50.0 degree,10.5 centimetre,8.0 centimetre,80347
,,Pedra da Gávea vista da Tijuca,Fotografia de Anônimo,,Q155,-22.969184/-43.258827,Q4233718,Q11472,Q71989864,001AN01001026,Q172984,45.0 degree,10.5 centimetre,8.0 centimetre,79097
,,"Serra da Tijuca, atual Estrada Redentor",Fotografia de Anônimo,,Q155,-22.958202/-43.257356,Q4233718,Q11472,Q71989864,001AN01001027,Q172984,36.6 degree,10.5 centimetre,8.0 centimetre,80348
,,Palmeiras Imperiais na Rua Paissandu,Fotografia de Anônimo,,Q155,-22.934861/-43.178359,Q4233718,Q11472,Q71989864,001AN01001031,Q172984,35.4 degree,10.5 centimetre,8.0 centimetre,80351
,,"Vista da Praia de Botafogo, ao fundo o Morro do Corcovado e a Pedra da Gávea",Fotografia de Anônimo,,Q155,-22.94219/-43.175752,Q4233718,Q11472,Q71989864,001AN01002001,Q172984,28.0 degree,9.8 centimetre,7.3 centimetre,80352
,,"Vista da Praia de Botafogo, ao fundo o Morro do Corcovado",Fotografia de Anônimo,,Q155,-22.942167/-43.175762,Q4233718,Q11472,Q71989864,001AN01002002,Q172984,27.4 degree,9.8 centimetre,7.3 centimetre,80353
,,"Vista da Enseada de Botafogo, parte da avenida Beira-Mar",Fotografia de Anônimo,,Q155,-22.942239/-43.175852,Q4233718,Q11472,Q71989864,001AN01002003,Q172984,45.8 degree,9.8 centimetre,7.3 centimetre,80354
,,Laranjeiras visto de Santa Teresa,Fotografia de Anônimo,,Q155,-22.9351/-43.194037,Q4233718,Q11472,Q71989864,001AN01002004,Q172984,44.8 degree,9.8 centimetre,7.3 centimetre,80355
,,"Vista do bairro de Laranjeiras, com o Pão de Açúcar à esquerda",Fotografia de Anônimo,,Q155,-22.934924/-43.194117,Q4233718,Q11472,Q71989864,001AN01002005,Q172984,44.8 degree,9.8 centimetre,7.3 centimetre,80356
,,Bairro do Catete visto de Santa Teresa,Fotografia de Anônimo,,Q155,-22.922934/-43.190464,Q4233718,Q11472,Q71989864,001AN01002006,Q172984,46.8 degree,9.8 centimetre,7.3 centimetre,80357
,,"Glória, Palácio Monroe e Passeio Público, a partir do centro",Fotografia de Anônimo,,Q155,-22.910813/-43.174476,Q4233718,Q11472,Q71989864,001AN01002007,Q172984,46.8 degree,9.8 centimetre,7.3 centimetre,80358
,,"Avenida Central, vendo-se o prédio do Supremo Tribunal Federal, Palácio Monroe e o Passeio Público",Fotografia de Anônimo,,Q155,-22.909385/-43.17418,Q4233718,Q11472,Q71989864,001AN01002008,Q172984,45.6 degree,9.8 centimetre,7.3 centimetre,80359
,,"Vista da Avenida Beira-Mar, a partir da Glória",Fotografia de Anônimo,,Q155,-22.921605/-43.180977,Q4233718,Q11472,Q71989864,001AN01002010,Q172984,39.2 degree,9.8 centimetre,7.3 centimetre,80361
,,"Bairro de Santa Teresa, com o Castelinho do Valentim ao fundo",Fotografia de Anônimo,,Q155,-22.92284/-43.188174,Q4233718,Q11472,Q71989864,001AN01002011,Q172984,50.0 degree,9.8 centimetre,7.3 centimetre,80362
,,"Bairro de Santa Teresa, com o Castelinho do Valentim ao fundo",Fotografia de Anônimo,,Q155,-22.922842000000006/-43.188171,Q4233718,Q11472,Q71989864,001AN01002012,Q172984,50.0 degree,9.8 centimetre,7.3 centimetre,80363
,,"Santa Teresa, com a Estação do Curvelo ao fundo",Fotografia de Anônimo,,Q155,-22.926373/-43.18693,Q4233718,Q11472,Q71989864,001AN01002013,Q172984,44.8 degree,9.8 centimetre,7.3 centimetre,80364
,,"Vista da praça XV e região central, a partir da Baía de Guanabara",Fotografia de Anônimo,,Q155,-22.898523/-43.168169,Q4233718,Q11472,Q71989864,001AN01002015,Q172984,37.8 degree,9.8 centimetre,7.3 centimetre,80366
,,"Vista da enseada de Botafogo, com Copacabana ao fundo, a partir do Mirante Dona Marta",Fotografia de Anônimo,,Q155,-22.944909/-43.196439,Q4233718,Q11472,Q71989864,001AN01002016,Q172984,34.8 degree,9.8 centimetre,7.3 centimetre,80367
,,Enseada de Botafogo a partir do Morro da Viúva,Fotografia de Anônimo,,Q155,-22.942394/-43.17550900000001,Q4233718,Q11472,Q71989864,001AN01002019,Q172984,45.4 degree,9.8 centimetre,7.3 centimetre,80370
,,Vista da enseada de Botafogo e Pão de Açúcar,Fotografia de Anônimo,,Q155,-22.9469/-43.182141,Q4233718,Q11472,Q71989864,001AN01002020,Q172984,37.2 degree,9.8 centimetre,7.3 centimetre,80371
,,Vista do Pão de Açúcar,Fotografia de Anônimo,,Q155,-22.950946/-43.144135,Q4233718,Q11472,Q71989864,001AN01002021,Q172984,39.6 degree,9.8 centimetre,7.3 centimetre,80372
,,"Vista da Baía de Guanabara, a partir de Niterói",Fotografia de Anônimo,,Q155,-22.956508/-43.12694000000001,Q4233718,Q11472,Q71989864,001AN01002022,Q172984,39.4 degree,9.8 centimetre,7.3 centimetre,80373
,,Embarcações na baía e Pão de Açúcar ao fundo,Fotografia de Anônimo,,Q155,-22.902161/-43.165899,Q4233718,Q11472,Q71989864,001AN01002023,Q172984,40.4 degree,9.8 centimetre,7.3 centimetre,80374
,,Rochas na praia de Ipanema,Fotografia de Anônimo,,Q155,-22.989265/-43.190291,Q4233718,Q11472,Q71989864,001AN01002025,Q172984,27.8 degree,9.8 centimetre,7.3 centimetre,80375
,,Pedra da Gávea a partir de São Conrado,Fotografia de Anônimo,,Q155,-22.986281/-43.277597,Q4233718,Q11472,Q71989864,001AN01002026,Q172984,40.6 degree,9.8 centimetre,7.3 centimetre,80376
,,Pedra da Gávea a partir do Alto da Boa Vista,Fotografia de Anônimo,,Q155,-22.969703/-43.259117,Q4233718,Q11472,Q71989864,001AN01002027,Q172984,26.4 degree,9.8 centimetre,7.3 centimetre,80377
,,Morro do Corcovado a partir da Gávea,Fotografia de Anônimo,,Q155,-22.978924/-43.23919,Q4233718,Q11472,Q71989864,001AN01002028,Q172984,40.6 degree,9.8 centimetre,7.3 centimetre,80378
,,Vista do morro do Corcovado a partir de Laranjeiras,Fotografia de Anônimo,,Q155,-22.935973/-43.195096,Q4233718,Q11472,Q71989864,001AN01002029,Q172984,36.2 degree,9.8 centimetre,7.3 centimetre,80379
,,Morro do Corcovado visto de Santa Teresa,Fotografia de Anônimo,,Q155,-22.935163/-43.200357,Q4233718,Q11472,Q71989864,001AN01002030,Q172984,29.2 degree,9.8 centimetre,7.3 centimetre,80380
,,"Morro do Corcovado, a partir do Mirante Dona Marta",Fotografia de Anônimo,,Q155,-22.94501/-43.196381,Q4233718,Q11472,Q71989864,001AN01002031,Q172984,35.0 degree,9.8 centimetre,7.3 centimetre,80381
,,Serra da Tijuca vista do Sumaré,Fotografia de Anônimo,,Q155,-22.930899/-43.222458,Q4233718,Q11472,Q71989864,001AN01002032,Q172984,36.4 degree,9.8 centimetre,7.3 centimetre,80382
,,Rochas na Avenida Niemeyer,Fotografia de Anônimo,,Q155,-22.999999/-43.240959,Q4233718,Q11472,Q71989864,001AN01002034,Q172984,25.0 degree,9.8 centimetre,7.3 centimetre,80383
,,Rua Gonçalves Dias em obras,Fotografia de Anônimo,,Q155,-22.904427/-43.179104,Q4233718,Q11472,Q71989864,001AN01002038,Q172984,50.0 degree,9.8 centimetre,7.3 centimetre,80385
,,Largo e Rua Primeiro de Março,Fotografia de Anônimo,,Q155,-22.903544/-43.174484,Q4233718,Q11472,Q71989864,001AN01002039,Q172984,31.0 degree,9.8 centimetre,7.3 centimetre,80386
,,Edifício na Avenida Central,Fotografia de Anônimo,,Q155,-22.901413/-43.17915900000001,Q4233718,Q11472,Q71989864,001AN01002040,Q172984,50.0 degree,9.8 centimetre,7.3 centimetre,80387
,,Fachada de edifício na Avenida Central,Fotografia de Anônimo,,Q155,-22.901429/-43.179181,Q4233718,Q11472,Q71989864,001AN01002041,Q172984,39.8 degree,9.8 centimetre,7.3 centimetre,80388
,,"Cômoro Frei Leandro ou Casa dos Cedros, no Jardim Botânico",Fotografia de Anônimo,,Q155,-22.968691/-43.22496,Q4233718,Q11472,Q71989864,001AN01002045,Q172984,42.6 degree,9.8 centimetre,7.3 centimetre,80389
,,Caixa Velha da Tijuca,Fotografia de Anônimo,,Q155,-22.955652/-43.265921,Q4233718,Q11472,Q71989864,001AN01002047,Q172984,50.0 degree,9.8 centimetre,7.3 centimetre,80390
,,Caixa Velha da Tijuca,Fotografia de Anônimo,,Q155,-22.955548/-43.265638,Q4233718,Q11472,Q71989864,001AN01002048,Q172984,50.0 degree,9.8 centimetre,7.3 centimetre,80391
,,Monumento à D. Pedro I,Fotografia de Anônimo,,Q155,-22.906842/-43.18321,Q4233718,Q11472,Q71989864,001AN01002049,Q172984,44.8 degree,9.8 centimetre,7.3 centimetre,79098
,,Estátua equestre de D. Pedro I,Fotografia de Anônimo,,Q155,-22.906717/-43.182634,Q4233718,Q11472,Q71989864,001AN01002050,Q172984,40.2 degree,9.8 centimetre,7.3 centimetre,80392
,,Monumento em homenagem a Duque de Caxias,Fotografia de Anônimo,,Q155,-22.930933/-43.17868,Q4233718,Q11472,Q71989864,001AN01002051,Q172984,50.0 degree,9.8 centimetre,7.3 centimetre,80393
,,Igreja de Nossa Senhora da Glória e monumento em homenagem a Duque de Caxias,Fotografia de Anônimo,,Q155,-22.930726/-43.178303,Q4233718,Q11472,Q71989864,001AN01002052,Q172984,42.4 degree,9.8 centimetre,7.3 centimetre,80394
,,Chafariz do Mestre Valentim,Fotografia de Anônimo,,Q155,-22.902579/-43.173756,Q4233718,Q11472,Q71989864,001AN01002053,Q172984,50.0 degree,9.8 centimetre,7.3 centimetre,80395
,,Barricada na Praça XV de Novembro,Fotografia de Anônimo,,Q155,-22.901996/-43.17299600000001,Q4233718,Q11472,Q71989864,001AN01002054,Q172984,51.0 degree,9.8 centimetre,7.3 centimetre,80396
,,"Oficiais e barricada na Praça XV, com Ilha das Cobras ao fundo",Fotografia de Anônimo,,Q155,-22.902444/-43.17281,Q4233718,Q11472,Q71989864,001AN01002055,Q172984,50.0 degree,9.8 centimetre,7.3 centimetre,80397
,,Canal do Mangue,Fotografia de Anônimo,,Q155,-22.910704/-43.208501,Q4233718,Q11472,Q71989864,001AN01002056,Q172984,50.0 degree,9.8 centimetre,7.3 centimetre,80398
,,Muro e portão de residência na Avenida Nossa Senhora da Glória,Fotografia de Anônimo,,Q155,-22.921825/-43.17527800000001,Q4233718,Q11472,Q71989864,001AN01002057,Q172984,29.4 degree,9.8 centimetre,7.3 centimetre,80399
,,Ladeira da Glória,Fotografia de Anônimo,,Q155,-22.921355/-43.175751,Q4233718,Q11472,Q71989864,001AN01002059,Q172984,34.4 degree,9.8 centimetre,7.3 centimetre,80400
,,"Conselho Municipal, atual Palácio Pedro Ernesto",Fotografia de Anônimo,,Q155,-22.909612/-43.176282,Q4233718,Q11472,Q71989864,001AN01002060,Q172984,60.0 degree,9.8 centimetre,7.3 centimetre,80401
