qid,P31,Lpt-br,Dpt-br,Den,P571,qal1319,qal1326,P17,P1259,qal2044,qal7787,qal8208,P170,P186,P195,P217,P2079,P4036,P2049,P2048,P7835
Q65621323,Q125191,Jardim Botânico,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.965818/-43.226557,12.56U11573,-58.56U28390,95.88U28390,Q4233718,Q11472,Q71989864,001AAN005139,Q172984,50.0U28390,14.1U174728,8.3U174728,79142
Q65621324,Q125191,Jardim Botânico,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.966746/-43.223204,8.17U11573,-50.09U28390,95.3U28390,Q4233718,Q11472,Q71989864,001AAN005140,Q172984,50.0U28390,14.1U174728,8.3U174728,79143
Q65621654,Q125191,Vista do Pão de Açúcar,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.93731/-43.203232,185.13U11573,114.7U28390,93.27U28390,Q4233718,Q11472,Q71989864,001AAN005141,Q172984,43.2U28390,14.1U174728,8.3U174728,79144
Q65620106,Q125191,Vista da lagoa Rodrigo de Freitas,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.973211/-43.249181,413.73U11573,74.63U28390,93.5U28390,Q4233718,Q11472,Q71989864,001AAN005142,Q172984,43.6U28390,14.1U174728,8.3U174728,79145
Q65620107,Q125191,Vista da lagoa Rodrigo de Freitas,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.969616/-43.255749,459.42U11573,87.28U28390,92.86U28390,Q4233718,Q11472,Q71989864,001AAN005143,Q172984,46.8U28390,14.1U174728,8.3U174728,79171
Q65620108,Q125191,Vista de rua comercial,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.903888/-43.178578,8.19U11573,59.84U28390,94.06U28390,Q4233718,Q11472,Q71989864,001AAN005144,Q172984,50.0U28390,14.1U174728,8.3U174728,79146
Q65620109,Q125191,"Vista da lagoa Rodrigo de Freitas, Ipanema e Leblon.",Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.973679/-43.250096,78.7U11573,108.77U28390,92.0U28390,Q4233718,Q11472,Q71989864,001AAN005145,Q172984,42.4U28390,14.1U174728,8.3U174728,79147
Q65620110,Q125191,Vista da enseada de Botafogo e Pão de Açúcar a partir do Corcovado,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.951872/-43.210458,714.68U11573,92.06U28390,87.69U28390,Q4233718,Q11472,Q71989864,001AAN005146,Q172984,43.4U28390,14.1U174728,8.3U174728,79148
Q65620111,Q125191,Vista do Pão de Açúcar,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.948836/-43.136688,21.77U11573,-88.84U28390,97.64U28390,Q4233718,Q11472,Q71989864,001AAN005147,Q172984,44.4U28390,14.1U174728,8.3U174728,79172
Q65620112,Q125191,Entrada da Barra,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.931038/-43.139699,18.01U11573,-116.25U28390,95.43U28390,Q4233718,Q11472,Q71989864,001AAN005148,Q172984,42.4U28390,14.1U174728,8.3U174728,79149
Q65621326,Q125191,Vista do Pão de Açúcar,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.95204/-43.133404,5.25U11573,-80.41U28390,98.57U28390,Q4233718,Q11472,Q71989864,001AAN005149,Q172984,43.2U28390,14.1U174728,8.3U174728,79173
Q65620114,Q125191,Baía de Guanabara,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.890441/-43.153183,13.68U11573,-133.12U28390,92.02U28390,Q4233718,Q11472,Q71989864,001AAN005150,Q172984,42.8U28390,14.1U174728,8.3U174728,79150
Q65621327,Q125191,Vista do Pão de Açúcar,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1908-01-01T00:00:00Z/9,1909-01-01T00:00:00Z/9,Q155,@-22.95533/-43.128525,5.94U11573,-77.72U28390,97.37U28390,Q4233718,Q11472,Q71989864,001AAN005151,Q172984,38.8U28390,14.1U174728,8.3U174728,79151
Q64214710,Q125191,Largo do Paço visto do morro do Castelo,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1885-01-01T00:00:00Z/8,1880-01-01T00:00:00Z/9,1890-01-01T00:00:00Z/9,Q155,@-22.908247/-43.173719,74.97U11573,0.15U28390,87.01U28390,Q5877879,Q11472,Q71989864,001ACL017002,Q580807,50.0U28390,24U174728,19.2U174728,79082
Q65620119,Q125191,"Largo de São Francisco, em destaque, a real Academia Militar",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1865-01-01T00:00:00Z/8,1860-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.904689/-43.180573,13.77U11573,-139.48U28390,85.96U28390,Q5877879,Q11472,Q71989864,001ACL017006,Q580807,50.0U28390,24U174728,19.2U174728,76243
Q65620120,Q125191,"Cemitério São João Batista, Botafogo e Pão de Açúcar, da chácara do sr. Rocha",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1870-01-01T00:00:00Z/9,Q155,@-22.959782/-43.19318,93.35U11573,71.14U28390,87.13U28390,Q5877879,Q11472,Q71989864,001ACL017018,Q580807,46.8U28390,24U174728,19.2U174728,79083
Q65620121,Q125191,Hotel Bennett,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1861-01-01T00:00:00Z/9,1871-01-01T00:00:00Z/9,Q155,@-22.970493/-43.280851,318.32U11573,-80.03U28390,92.63U28390,Q5877879,Q11472,Q71989864,001ACL017022,Q580807,28.0U28390,19.2U174728,24.0U174728,79084
Q65621328,Q125191,Palácio Monroe,,,1911-01-01T00:00:00Z/8,1906-01-01T00:00:00Z/9,1916-01-01T00:00:00Z/9,Q155,@-22.9111/-43.175209,28.56U11573,-168.34U28390,90.31U28390,,Q11472,Q71989864,001AE001001,FOTOGRAVURA/ Pigmento,35.0U28390,23.6U174728,17.3U174728,79128
Q65620134,Q125191,Praia de Botafogo e Corcovado,,,1911-01-01T00:00:00Z/8,1906-01-01T00:00:00Z/9,1916-01-01T00:00:00Z/9,Q155,@-22.942173/-43.17563,58.06U11573,-104.94U28390,87.69U28390,,Q11472,Q71989864,001AE001002,FOTOGRAVURA/ Pigmento,45.4U28390,25.8U174728,17.3U174728,79127
Q97772920,Q125191,Vista da baía de Guanabara,,,1911-01-01T00:00:00Z/8,1906-01-01T00:00:00Z/9,1916-01-01T00:00:00Z/9,Q155,@-22.945007/-43.196355,356.48U11573,85.13U28390,86.19U28390,,Q11472,Q71989864,001AE001003,FOTOGRAVURA/ Pigmento,86.4U28390,40.9U174728,18.3U174728,79126
Q97772880,Q125191,Copacabana,Fotografia de José dos Santos Affonso,Photograph by José dos Santos Affonso,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-22.963213/-43.18311,80.07U11573,-169.18U28390,83.89U28390,Q63993961,Q11472,Q71989864,001AF001001,Q172984,51.4U28390,12.8U174728,7.9U174728,79090
Q65620135,Q125191,Palácio Monroe,Fotografia de José dos Santos Affonso,Photograph by José dos Santos Affonso,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1921-01-01T00:00:00Z/9,Q155,@-22.911183/-43.175168,47.6U11573,-175.68U28390,94.68U28390,Q63993961,Q11472,Q71989864,001ALA011001,Q172984,50.0U28390,21.6U174728,15.8U174728,75589
Q65620136,Q125191,Teatro Municipal,Fotografia de José dos Santos Affonso,Photograph by José dos Santos Affonso,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1921-01-01T00:00:00Z/9,Q155,@-22.910016/-43.175332,15.36U11573,-45.81U28390,90.71U28390,Q63993961,Q11472,Q71989864,001ALA011002,Q172984,50.0U28390,22.0U174728,15.8U174728,75590
Q65620138,Q125191,Avenida Rio Branco,Fotografia de José dos Santos Affonso,Photograph by José dos Santos Affonso,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1921-01-01T00:00:00Z/9,Q155,@-22.904322/-43.178093,30.2U11573,-1.97U28390,91.94U28390,Q63993961,Q11472,Q71989864,001ALA011003,Q172984,50.0U28390,15.9U174728,21.9U174728,75591
Q97772735,Q125191,Avenida Niemeyer,,,1920-01-01T00:00:00Z/8,1920-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-23.000056/-43.241663,60.17U11573,-103.65U28390,87.62U28390,,Q11472,Q71989864,001ALA011004,Q172984,50.0U28390,21.9U174728,15.9U174728,75592
Q65620139,Q125191,Pão de Açúcar visto da Urca,,,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-22.950948/-43.164241,227.9U11573,75.98U28390,93.47U28390,,Q11472,Q71989864,001ALA011005,Q172984,50.0U28390,21.6U174728,15.7U174728,75593
Q65620140,Q125191,Vista tirada do Pão de Açúcar,,,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-22.950741/-43.158302,356.88U11573,-126.49U28390,85.74U28390,,Q11472,Q71989864,001ALA011006,Q172984,50.0U28390,21.9U174728,16.0U174728,75594
Q97772737,Q125191,Pão de Açúcar,,,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-22.949427/-43.156805,381.77U11573,106.93U28390,120.63U28390,,Q11472,Q71989864,001ALA011007,Q172984,50.0U28390,15.9U174728,21.9U174728,75595
Q65620141,Q125191,Vista do Pão de Açúcar,,,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1921-01-01T00:00:00Z/9,Q155,@-22.951085/-43.163488,220.62U11573,64.62U28390,93.38U28390,,Q11472,Q71989864,001ALA011008,Q172984,65.0U28390,21.7U174728,15.8U174728,75630
Q97772740,Q125191,Crepúsculo na Avenida Niemeyer,,,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-23.000157/-43.24188400000001,44.31U11573,-99.29U28390,96.31U28390,,Q11472,Q71989864,001ALA011009,Q172984,50.8U28390,21.9U174728,16.0U174728,75596
Q97772742,Q125191,Luar na Praia da Gávea,,,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-23.000607/-43.245895,40.92U11573,-93.66U28390,97.66U28390,,Q11472,Q71989864,001ALA011010,Q172984,62.0U28390,21.9U174728,16.0U174728,75597
Q97772766,Q125191,Copacabana e Avenida Delfim Moreira,,,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-22.944934/-43.196427,372.79U11573,-177.14U28390,81.97U28390,,Q11472,Q71989864,001ALA011011,Q172984,50.0U28390,22.0U174728,16.0U174728,75631
Q65620143,Q125191,Praia de Botafogo,,,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-22.945356/-43.193435,299.84U11573,89.92U28390,84.94U28390,,Q11472,Q71989864,001ALA011012,Q172984,50.0U28390,21.8U174728,16.1U174728,75598
Q97772767,Q125191,"Praia da Saudade, vista tomada da Urca",,,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-22.951625/-43.165278,222.1U11573,-103.59U28390,80.74U28390,,Q11472,Q71989864,001ALA011013,Q172984,51.8U28390,21.9U174728,15.9U174728,75632
Q65620144,Q125191,Botafogo visto do Pão de Açúcar,,,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-22.949487/-43.156698,415.36U11573,-88.29U28390,88.58U28390,,Q11472,Q71989864,001ALA011014,Q172984,50.0U28390,21.9U174728,16.0U174728,75599
Q97772743,Q125191,Copacabana e Leme,,,1920-01-01T00:00:00Z/8,1919-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-22.979945/-43.189606,8.71U11573,33.28U28390,92.76U28390,,Q11472,Q71989864,001ALA011015,Q172984,50.0U28390,21.9U174728,16.0U174728,75600
Q65621329,Q125191,Praia de Botafogo,,,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-22.942685/-43.175359,47.25U11573,-110.4U28390,93.59U28390,,Q11472,Q71989864,001ALA011016,Q172984,50.0U28390,21.7U174728,15.7U174728,75601
Q97772744,Q125191,"Hotel Central, na Praia do Flamengo",,,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-22.933824/-43.17441,10.3U11573,-15.94U28390,97.18U28390,,Q11472,Q71989864,001ALA011017,Q172984,51.0U28390,21.9U174728,16.0U174728,75602
Q65621330,Q125191,Avenida Rio Branco,,,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-22.912043/-43.175603,10.8U11573,-6.42U28390,102.1U28390,,Q11472,Q71989864,001ALA011018,Q172984,50.0U28390,21.9U174728,16.0U174728,75633
Q97772745,Q125191,Avenida Central,,,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-22.908461/-43.176557,33.38U11573,151.86U28390,84.11U28390,,Q11472,Q71989864,001ALA011019,Q172984,50.0U28390,21.9U174728,16.0U174728,75603
Q65621331,Q125191,Avenida Rio Branco,,,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-22.909752/-43.175889,11.55U11573,-32.85U28390,102.21U28390,,Q11472,Q71989864,001ALA011020,Q172984,50.0U28390,21.9U174728,16.0U174728,75604
Q97772545,Q125191,Palácio Guanabara,Fotografia de Augusto Malta,Photograph by Augusto Malta,1913-08-20T00:00:00Z/11,,,Q155,@-22.9372/-43.183754,14.21U11573,-150.46U28390,102.95U28390,Q16495239,Q11472,Q71989864,001AM001001,Q172984,60.2U28390,23U174728,17U174728,19343
Q97772546,Q125191,Vista da aléia das palmeiras a partir do Palácio Guanabara,Fotografia de Augusto Malta,Photograph by Augusto Malta,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-22.937568/-43.183935,17.71U11573,66.77U28390,88.07U28390,Q16495239,Q11472,Q71989864,001AM002001,Q580807,60.6U28390,16.4U174728,22.2U174728,19347
Q97772547,Q125191,Terraço do Palácio da Guanabara,Fotografia de Augusto Malta,Photograph by Augusto Malta,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-22.937599/-43.183882,16.88U11573,7.81U28390,88.02U28390,Q16495239,Q11472,Q71989864,001AM002002,Q580807,60.0U28390,16.4U174728,22.3U174728,19348
Q97772804,Q125191,Escola Estácio de Sá,Fotografia de Augusto Malta,Photograph by Augusto Malta,1915-01-01T00:00:00Z/8,1911-01-01T00:00:00Z/9,1920-01-01T00:00:00Z/9,Q155,@-22.914192/-43.207621,12.69U11573,82.13U28390,97.19U28390,Q16495239,Q11472,Q71989864,001AM003,Q172984,40.2U28390,22.8U174728,17U174728,77544
Q97772805,Q125191,Igreja Positivista do Brasil,Fotografia de Augusto Malta,Photograph by Augusto Malta,1920-01-01T00:00:00Z/8,1915-01-01T00:00:00Z/9,1925-01-01T00:00:00Z/9,Q155,@-22.920882/-43.17923,16.85U11573,-27.05U28390,90.97U28390,Q16495239,Q11472,Q71989864,001AM004,Q172984,50.0U28390,22.8U174728,17.1U174728,77545
Q65620149,Q125191,Inauguração da Estátua da Amizade em frente a Igreja de Santa Luzia,Fotografia de Augusto Malta,Photograph by Augusto Malta,1931-07-04T00:00:00Z/11,,,Q155,@-22.910567/-43.171647,10.34U11573,-30.38U28390,86.45U28390,Q16495239,Q11472,Q71989864,001AM005001,Q580807,50.0U28390,23.3U174728,17U174728,19349
Q97772548,Q125191,Inauguração da Estátua da Amizade em frente a Igreja de Santa Luzia,Fotografia de Augusto Malta,Photograph by Augusto Malta,1931-07-04T00:00:00Z/11,,,Q155,@-22.909963/-43.171729,13.86U11573,-57.95U28390,96.6U28390,Q16495239,Q11472,Q71989864,001AM005002,Q172984,50.0U28390,23.4U174728,16.9U174728,19350
Q97772806,Q125191,Quinta da Boa Vista,Fotografia de Augusto Malta,Photograph by Augusto Malta,1915-01-01T00:00:00Z/8,1910-01-01T00:00:00Z/9,1920-01-01T00:00:00Z/9,Q155,@-22.907058/-43.224919,9.01U11573,-82.32U28390,91.1U28390,Q16495239,Q11472,Q71989864,001AM006,Q172984,50.0U28390,23U174728,17U174728,77546
Q97772807,Q125191,"Jockey Club, com a Pedra da Gávea ao fundo",Fotografia de Augusto Malta,Photograph by Augusto Malta,1925-01-01T00:00:00Z/8,1920-01-01T00:00:00Z/9,1930-01-01T00:00:00Z/9,Q155,@-22.974214/-43.224752,27.17U11573,-122.39U28390,89.81U28390,Q16495239,Q11472,Q71989864,001AM008,Q172984,50.0U28390,22.8U174728,17.5U174728,77547
Q65620150,Q125191,Praça Marechal Floriano,Fotografia de Augusto Malta,Photograph by Augusto Malta,1920-01-01T00:00:00Z/8,1917-01-01T00:00:00Z/9,1923-01-01T00:00:00Z/9,Q155,@-22.910332/-43.176308,32.78U11573,3.93U28390,83.82U28390,Q16495239,Q11472,Q71989864,001AM010,Q172984,50.0U28390,22.7U174728,16.8U174728,77548
Q97772808,Q125191,Praça Tiradentes,Fotografia de Augusto Malta,Photograph by Augusto Malta,1924-01-01T00:00:00Z/9,,,Q155,@-22.907503/-43.183452,8.38U11573,81.63U28390,88.95U28390,Q16495239,Q11472,Q71989864,001AM011,Q172984,50.0U28390,22.9U174728,17.5U174728,77549
Q97772811,Q125191,Bonde em frente a Igreja do Santíssimo Sacramento da Antiga Sé,Fotografia de Augusto Malta,Photograph by Augusto Malta,1924-05-28T00:00:00Z/11,,,Q155,@-22.904001/-43.183516,9.19U11573,158.83U28390,88.41U28390,Q16495239,Q11472,Q71989864,001AM013,Q172984,60.2U28390,22.9U174728,17.4U174728,77552
Q97772921,Q125191,Exposição de 1908,Fotografia de Augusto Malta,Photograph by Augusto Malta,1908-01-01T00:00:00Z/9,,,Q155,@-22.954049/-43.171481,20.96U11573,85.85U28390,84.5U28390,Q16495239,Q11472,Q71989864,001AM014001,Q172984,50.0U28390,28.3U174728,22.2U174728,79153
Q97772922,Q125191,Vista da Exposição de 1908,Fotografia de Augusto Malta,Photograph by Augusto Malta,1908-05-10T00:00:00Z/11,,,Q155,@-22.951691/-43.178206,60.65U11573,102.58U28390,90.0U28390,Q16495239,Q11472,Q71989864,001AM014002,Q172984,49.2U28390,28.3U174728,22.3U174728,79154
Q65620368,Q125191,Vista do Outeiro e do mercado da Glória,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1885-01-01T00:00:00Z/8,1880-01-01T00:00:00Z/9,1890-01-01T00:00:00Z/9,Q155,@-22.918495/-43.17781,56.69U11573,134.21U28390,88.33U28390,Q3180571,Q11472,Q71989864,001AMF016001,Q580807,38.4U28390,19.4U174728,15.0U174728,70929
Q97772882,Q125191,Vista do bairro do Catete e do Pão de Açucar tomada de Santa Teresa,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1885-01-01T00:00:00Z/8,1880-01-01T00:00:00Z/9,1890-01-01T00:00:00Z/9,Q155,@-22.919958/-43.180424,87.27U11573,147.92U28390,85.5U28390,Q3180571,Q11472,Q71989864,001AMF016002,Q580807,40.4U28390,20.1U174728,14.7U174728,79092
Q97772681,Q125191,Porto do Rio de Janeiro,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1885-01-01T00:00:00Z/8,1880-01-01T00:00:00Z/9,1890-01-01T00:00:00Z/9,Q155,@-22.89551/-43.183587,21.94U11573,-127.72U28390,94.07U28390,Q3180571,Q11472,Q71989864,001AMF016005,Q580807,39.8U28390,20.1U174728,14.7U174728,70931
Q97772682,Q125191,Docas D. Pedro II e embarcações,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1885-01-01T00:00:00Z/8,1880-01-01T00:00:00Z/9,1890-01-01T00:00:00Z/9,Q155,@-22.895841/-43.18612,8.43U11573,155.69U28390,98.79U28390,Q3180571,Q11472,Q71989864,001AMF016006,Q580807,40.2U28390,20.0U174728,14.8U174728,70932
Q97772684,Q125191,Porto e Mosteiro de São Bento,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1885-01-01T00:00:00Z/8,1880-01-01T00:00:00Z/9,1890-01-01T00:00:00Z/9,Q155,@-22.89554/-43.180214,11.82U11573,105.42U28390,91.81U28390,Q3180571,Q11472,Q71989864,001AMF016008,Q580807,46.8U28390,20.2U174728,14.5U174728,70934
Q97772686,Q125191,O Porto e o Mosteiro de São Bento,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1885-01-01T00:00:00Z/8,1880-01-01T00:00:00Z/9,1890-01-01T00:00:00Z/9,Q155,@-22.897786/-43.176155,8.34U11573,-35.75U28390,94.8U28390,Q3180571,Q11472,Q71989864,001AMF016016,Q580807,60.0U28390,20.0U174728,15.0U174728,70942
